# Gene Family	SampleBacterial_Chemotaxis_Abundance-CPM
UniRef50_UPI000464983B: histidine kinase	3283.34
UniRef50_UPI000464983B: histidine kinase|unclassified	3283.34
UniRef50_A7MSY8: Chemotaxis protein X	3227.21
UniRef50_A7MSY8: Chemotaxis protein X|unclassified	3227.21
UniRef50_Q9LB13: Protein phosphatase CheZ	3163.54
UniRef50_Q9LB13: Protein phosphatase CheZ|unclassified	3163.54
UniRef50_UPI0001A445E7: methyl-accepting chemotaxis protein	3074.24
UniRef50_UPI0001A445E7: methyl-accepting chemotaxis protein|unclassified	3074.24
UniRef50_UPI00035CD463: hypothetical protein	3055.22
UniRef50_UPI00035CD463: hypothetical protein|unclassified	3055.22
UniRef50_O87131: Chemotaxis protein methyltransferase 1	2986.69
UniRef50_O87131: Chemotaxis protein methyltransferase 1|unclassified	2986.69
UniRef50_UPI000255D9DF: Fis family transcriptional regulator	2867.81
UniRef50_UPI000255D9DF: Fis family transcriptional regulator|unclassified	2867.81
UniRef50_UPI000422217E: chemotaxis protein CheV	2866.87
UniRef50_UPI000422217E: chemotaxis protein CheV|unclassified	2866.87
UniRef50_Q48768: Chemotaxis protein CheA	2800.53
UniRef50_Q48768: Chemotaxis protein CheA|unclassified	2800.53
UniRef50_UPI00046FF377: chemotaxis protein CheA	2782.75
UniRef50_UPI00046FF377: chemotaxis protein CheA|unclassified	2782.75
UniRef50_Q8PIM5: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon	2755.43
UniRef50_Q8PIM5: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon|unclassified	2755.43
UniRef50_UPI00016AD28B: aerotaxis sensor receptor, partial	2644.09
UniRef50_UPI00016AD28B: aerotaxis sensor receptor, partial|unclassified	2644.09
UniRef50_A3EJ75	2636.49
UniRef50_A3EJ75|unclassified	2636.49
UniRef50_Q88ER1: Chemotaxis protein methyltransferase Cher2	2599.92
UniRef50_Q88ER1: Chemotaxis protein methyltransferase Cher2|unclassified	2599.92
UniRef50_Q02JU1: Protein phosphatase CheZ	2598.27
UniRef50_Q02JU1: Protein phosphatase CheZ|unclassified	2598.27
UniRef50_UPI00028819A1: chemotaxis protein CheY	2595.51
UniRef50_UPI00028819A1: chemotaxis protein CheY|unclassified	2595.51
UniRef50_A9AD42: Protein phosphatase CheZ	2564.34
UniRef50_A9AD42: Protein phosphatase CheZ|unclassified	2564.34
UniRef50_UPI000365C830: hypothetical protein	2538.02
UniRef50_UPI000365C830: hypothetical protein|unclassified	2538.02
UniRef50_UPI0004698F3C: chemotaxis protein CheR	2531.75
UniRef50_UPI0004698F3C: chemotaxis protein CheR|unclassified	2531.75
UniRef50_A3QCQ6: Protein phosphatase CheZ	2506.5
UniRef50_A3QCQ6: Protein phosphatase CheZ|unclassified	2506.5
UniRef50_UPI00040C9AEF: chemotaxis protein CheY	2460.19
UniRef50_UPI00040C9AEF: chemotaxis protein CheY|unclassified	2460.19
UniRef50_UPI00037A9071: hypothetical protein	2373.96
UniRef50_UPI00037A9071: hypothetical protein|unclassified	2373.96
UniRef50_A0A038FWT0	2373.64
UniRef50_A0A038FWT0|unclassified	2373.64
UniRef50_Q8XQ83: Chemotaxis response regulator protein-glutamate methylesterase	2353.27
UniRef50_Q8XQ83: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	2353.27
UniRef50_UPI000478602B: hypothetical protein	2345.05
UniRef50_UPI000478602B: hypothetical protein|unclassified	2345.05
UniRef50_W1BG23: Galactose/methyl galactoside ABC transport system, D-galactose-binding periplasmic protein MglB (TC 3.A.1.2.3)	2335.52
UniRef50_W1BG23: Galactose/methyl galactoside ABC transport system, D-galactose-binding periplasmic protein MglB (TC 3.A.1.2.3)|unclassified	2335.52
UniRef50_UPI0003817F52: hypothetical protein	2306.97
UniRef50_UPI0003817F52: hypothetical protein|unclassified	2306.97
UniRef50_UPI000225AF4A: chemotaxis protein CheY	2286.84
UniRef50_UPI000225AF4A: chemotaxis protein CheY|unclassified	2286.84
UniRef50_Q9KKL3: Chemotaxis protein methyltransferase 3	2265.17
UniRef50_Q9KKL3: Chemotaxis protein methyltransferase 3|unclassified	2265.17
UniRef50_UPI0003754233: hypothetical protein	2226.5
UniRef50_UPI0003754233: hypothetical protein|unclassified	2226.5
UniRef50_W7W4N3	2147.11
UniRef50_W7W4N3|unclassified	2147.11
UniRef50_Q56AQ8	2136.29
UniRef50_Q56AQ8|unclassified	2136.29
UniRef50_UPI0003B330B8: chemotaxis protein CheY	2121.44
UniRef50_UPI0003B330B8: chemotaxis protein CheY|unclassified	2121.44
UniRef50_B1FRF3	2114.81
UniRef50_B1FRF3|unclassified	2114.81
UniRef50_UPI00036DCF9C: chemotaxis protein CheW, partial	2090.65
UniRef50_UPI00036DCF9C: chemotaxis protein CheW, partial|unclassified	2090.65
UniRef50_UPI000414C8E2: SAM-dependent methyltransferase	2084.08
UniRef50_UPI000414C8E2: SAM-dependent methyltransferase|unclassified	2084.08
UniRef50_Q5QXZ7: Chemotaxis protein CheX	2083.03
UniRef50_Q5QXZ7: Chemotaxis protein CheX|unclassified	2083.03
UniRef50_UPI0003A3DCB3: methyl-accepting chemotaxis protein	2074.63
UniRef50_UPI0003A3DCB3: methyl-accepting chemotaxis protein|unclassified	2074.63
UniRef50_Q9KS61: Chemotaxis protein methyltransferase 2	2065.55
UniRef50_Q9KS61: Chemotaxis protein methyltransferase 2|unclassified	2065.55
UniRef50_K8DIH8	2063.05
UniRef50_K8DIH8|unclassified	2063.05
UniRef50_UPI0002881797: chemotaxis protein CheY	2057.51
UniRef50_UPI0002881797: chemotaxis protein CheY|unclassified	2057.51
UniRef50_UPI00036D36CF: hypothetical protein	2044.48
UniRef50_UPI00036D36CF: hypothetical protein|unclassified	2044.48
UniRef50_V6PPQ9: Periplasmic binding protein/LacI transcriptional regulator	1988.81
UniRef50_V6PPQ9: Periplasmic binding protein/LacI transcriptional regulator|unclassified	1988.81
UniRef50_C2ITV8: Methyl-accepting chemotaxis protein	1964.15
UniRef50_C2ITV8: Methyl-accepting chemotaxis protein|unclassified	1964.15
UniRef50_UPI00036169CB: hypothetical protein	1937.98
UniRef50_UPI00036169CB: hypothetical protein|unclassified	1937.98
UniRef50_A3GTK1: D-galactose-binding periplasmic protein	1927.3
UniRef50_A3GTK1: D-galactose-binding periplasmic protein|unclassified	1927.3
UniRef50_UPI00046E524A: hypothetical protein, partial	1898.01
UniRef50_UPI00046E524A: hypothetical protein, partial|unclassified	1898.01
UniRef50_UPI0003149D2D: hypothetical protein	1896.7
UniRef50_UPI0003149D2D: hypothetical protein|unclassified	1896.7
UniRef50_UPI000363345A: hypothetical protein	1890.9
UniRef50_UPI000363345A: hypothetical protein|unclassified	1890.9
UniRef50_UPI0004648BE1: chemotaxis protein CheW	1848.76
UniRef50_UPI0004648BE1: chemotaxis protein CheW|unclassified	1848.76
UniRef50_Q221I1: Chemotaxis response regulator protein-glutamate methylesterase 1	1814.86
UniRef50_Q221I1: Chemotaxis response regulator protein-glutamate methylesterase 1|unclassified	1814.86
UniRef50_UPI000248334A: aerotaxis sensor receptor protein, partial	1806.39
UniRef50_UPI000248334A: aerotaxis sensor receptor protein, partial|unclassified	1806.39
UniRef50_A8T612: Methyl-accepting chemotaxis protein (Fragment)	1794.77
UniRef50_A8T612: Methyl-accepting chemotaxis protein (Fragment)|unclassified	1794.77
UniRef50_B1FRP3	1790.82
UniRef50_B1FRP3|unclassified	1790.82
UniRef50_L8UFP3: D-galactose-binding periplasmic protein	1759.99
UniRef50_L8UFP3: D-galactose-binding periplasmic protein|unclassified	1759.99
UniRef50_B1TGK5	1754.41
UniRef50_B1TGK5|unclassified	1754.41
UniRef50_UPI0002887212: chemotaxis protein CheW	1728.18
UniRef50_UPI0002887212: chemotaxis protein CheW|unclassified	1728.18
UniRef50_UPI000372164E: chemotaxis protein CheR	1700.73
UniRef50_UPI000372164E: chemotaxis protein CheR|unclassified	1700.73
UniRef50_UPI00037704CB: hypothetical protein	1678.75
UniRef50_UPI00037704CB: hypothetical protein|unclassified	1678.75
UniRef50_B1KHY2: CheC domain protein	1668.15
UniRef50_B1KHY2: CheC domain protein|unclassified	1668.15
UniRef50_A5XRE3	1608.27
UniRef50_A5XRE3|unclassified	1608.27
UniRef50_Q3KFZ6: Chemotaxis response regulator protein-glutamate methylesterase 2	1603.4
UniRef50_Q3KFZ6: Chemotaxis response regulator protein-glutamate methylesterase 2|unclassified	1603.4
UniRef50_Q9WYT5: Chemotaxis protein methyltransferase	1591.31
UniRef50_Q9WYT5: Chemotaxis protein methyltransferase|unclassified	1591.31
UniRef50_UPI000262B52C: methyl-accepting chemotaxis protein, partial	1576.44
UniRef50_UPI000262B52C: methyl-accepting chemotaxis protein, partial|unclassified	1576.44
UniRef50_UPI0002483587: aerotaxis receptor, partial	1574.86
UniRef50_UPI0002483587: aerotaxis receptor, partial|unclassified	1574.86
UniRef50_Q085K9: Chemotaxis response regulator protein-glutamate methylesterase	1554.83
UniRef50_Q085K9: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	1554.83
UniRef50_W1YHW0: Chemotaxis protein CheA (Fragment)	1543.04
UniRef50_W1YHW0: Chemotaxis protein CheA (Fragment)|unclassified	1543.04
UniRef50_A5F1A0: Probable chemoreceptor glutamine deamidase CheD	1523.07
UniRef50_A5F1A0: Probable chemoreceptor glutamine deamidase CheD|unclassified	1523.07
UniRef50_UPI0003731CD9: hypothetical protein, partial	1518.52
UniRef50_UPI0003731CD9: hypothetical protein, partial|unclassified	1518.52
UniRef50_F5NX75: Galactose-binding transport protein	1516.52
UniRef50_F5NX75: Galactose-binding transport protein|unclassified	1516.52
UniRef50_Q9KS59: Chemotaxis response regulator protein-glutamate methylesterase of group 3 operon	1513.01
UniRef50_Q9KS59: Chemotaxis response regulator protein-glutamate methylesterase of group 3 operon|unclassified	1513.01
UniRef50_UPI000363A787: hypothetical protein	1498.01
UniRef50_UPI000363A787: hypothetical protein|unclassified	1498.01
UniRef50_UPI000464CE1C: hypothetical protein, partial	1491.49
UniRef50_UPI000464CE1C: hypothetical protein, partial|unclassified	1491.49
UniRef50_UPI0004727367: hypothetical protein, partial	1475.35
UniRef50_UPI0004727367: hypothetical protein, partial|unclassified	1475.35
UniRef50_W7X7E7	1473.91
UniRef50_W7X7E7|unclassified	1473.91
UniRef50_Q884V3: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon	1449.26
UniRef50_Q884V3: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon|unclassified	1449.26
UniRef50_UPI0004650DE2: chemotaxis protein CheW	1430.31
UniRef50_UPI0004650DE2: chemotaxis protein CheW|unclassified	1430.31
UniRef50_G2T6W6: Periplasmic binding protein/LacI transcriptional regulator	1417.07
UniRef50_G2T6W6: Periplasmic binding protein/LacI transcriptional regulator|unclassified	1417.07
UniRef50_A0A011R0R6	1412.58
UniRef50_A0A011R0R6|unclassified	1412.58
UniRef50_UPI000346A235: hypothetical protein	1412.08
UniRef50_UPI000346A235: hypothetical protein|unclassified	1412.08
UniRef50_UPI00037C2AF6: MULTISPECIES: hypothetical protein	1402.67
UniRef50_UPI00037C2AF6: MULTISPECIES: hypothetical protein|unclassified	1402.67
UniRef50_A0A011Q2Q3	1394.82
UniRef50_A0A011Q2Q3|unclassified	1394.82
UniRef50_P29072: Chemotaxis protein CheA	1391.73
UniRef50_P29072: Chemotaxis protein CheA|unclassified	1391.73
UniRef50_F9I5R4	1391.63
UniRef50_F9I5R4|unclassified	1391.63
UniRef50_UPI00037195C4: hypothetical protein, partial	1391.23
UniRef50_UPI00037195C4: hypothetical protein, partial|unclassified	1391.23
UniRef50_K8A5P1	1390.81
UniRef50_K8A5P1|unclassified	1390.81
UniRef50_UPI0003B48AAB: protein phosphatase	1390.69
UniRef50_UPI0003B48AAB: protein phosphatase|unclassified	1390.69
UniRef50_UPI0003EF6104: hypothetical protein	1374.32
UniRef50_UPI0003EF6104: hypothetical protein|unclassified	1374.32
UniRef50_UPI00036F9D5F: hypothetical protein	1369.77
UniRef50_UPI00036F9D5F: hypothetical protein|unclassified	1369.77
UniRef50_UPI000374BAFA: hypothetical protein	1362.33
UniRef50_UPI000374BAFA: hypothetical protein|unclassified	1362.33
UniRef50_UPI0003814608: chemotaxis protein, partial	1359.89
UniRef50_UPI0003814608: chemotaxis protein, partial|unclassified	1359.89
UniRef50_UPI000473C296: membrane protein, partial	1353.7
UniRef50_UPI000473C296: membrane protein, partial|unclassified	1353.7
UniRef50_E8KEH7	1336.51
UniRef50_E8KEH7|unclassified	1336.51
UniRef50_UPI0002D4E0B0: hypothetical protein	1326.95
UniRef50_UPI0002D4E0B0: hypothetical protein|unclassified	1326.95
UniRef50_A5L3X2: Methyl-accepting chemotaxis protein (Fragment)	1321.56
UniRef50_A5L3X2: Methyl-accepting chemotaxis protein (Fragment)|unclassified	1321.56
UniRef50_UPI0002BBBE12: hypothetical protein	1315.58
UniRef50_UPI0002BBBE12: hypothetical protein|unclassified	1315.58
UniRef50_UPI00040A51F8: chemotaxis protein	1311.41
UniRef50_UPI00040A51F8: chemotaxis protein|unclassified	1311.41
UniRef50_A0A011MXU1: Chemotaxis protein CheW	1303.67
UniRef50_A0A011MXU1: Chemotaxis protein CheW|unclassified	1303.67
UniRef50_UPI0003673F08: hypothetical protein, partial	1289.46
UniRef50_UPI0003673F08: hypothetical protein, partial|unclassified	1289.46
UniRef50_A0A011M2V4: Chemotaxis protein CheA	1285.94
UniRef50_A0A011M2V4: Chemotaxis protein CheA|unclassified	1285.94
UniRef50_Q2LSL3: Chemotaxis response regulator protein-glutamate methylesterase 2	1267.38
UniRef50_Q2LSL3: Chemotaxis response regulator protein-glutamate methylesterase 2|unclassified	1267.38
UniRef50_UPI00025560C4: chemotaxis protein CheR	1256.96
UniRef50_UPI00025560C4: chemotaxis protein CheR|unclassified	1256.96
UniRef50_UPI00037E3D52: hypothetical protein, partial	1256.32
UniRef50_UPI00037E3D52: hypothetical protein, partial|unclassified	1256.32
UniRef50_UPI000467F7F6: hypothetical protein	1248.65
UniRef50_UPI000467F7F6: hypothetical protein|unclassified	1248.65
UniRef50_D0B1Z2: Periplasmic binding protein/LacI transcriptional regulator	1242.69
UniRef50_D0B1Z2: Periplasmic binding protein/LacI transcriptional regulator|unclassified	1242.69
UniRef50_Q6LU37	1223.57
UniRef50_Q6LU37|unclassified	1223.57
UniRef50_G7LUK2: Periplasmic binding protein/LacI transcriptional regulator	1219.72
UniRef50_G7LUK2: Periplasmic binding protein/LacI transcriptional regulator|unclassified	1219.72
UniRef50_UPI000380249D: hypothetical protein	1213.83
UniRef50_UPI000380249D: hypothetical protein|unclassified	1213.83
UniRef50_A1WJI7: Periplasmic binding protein/LacI transcriptional regulator	1197.22
UniRef50_A1WJI7: Periplasmic binding protein/LacI transcriptional regulator|unclassified	1197.22
UniRef50_UPI000472737B: chemotaxis protein CheA, partial	1193.34
UniRef50_UPI000472737B: chemotaxis protein CheA, partial|unclassified	1193.34
UniRef50_UPI0002887B02: flagellar motor switch protein G, partial	1176.85
UniRef50_UPI0002887B02: flagellar motor switch protein G, partial|unclassified	1176.85
UniRef50_UPI00037BB2C4: hypothetical protein	1176.42
UniRef50_UPI00037BB2C4: hypothetical protein|unclassified	1176.42
UniRef50_Q2SPQ1: Chemotaxis response regulator protein-glutamate methylesterase 1	1172.1
UniRef50_Q2SPQ1: Chemotaxis response regulator protein-glutamate methylesterase 1|unclassified	1172.1
UniRef50_UPI0003B625B3: chemotaxis protein CheA	1170.6
UniRef50_UPI0003B625B3: chemotaxis protein CheA|unclassified	1170.6
UniRef50_UPI000363EF42: chemotaxis protein CheW	1169.25
UniRef50_UPI000363EF42: chemotaxis protein CheW|unclassified	1169.25
UniRef50_UPI000428F92B: chemotaxis protein CheR	1161.51
UniRef50_UPI000428F92B: chemotaxis protein CheR|unclassified	1161.51
UniRef50_UPI0004634085: hypothetical protein	1160.76
UniRef50_UPI0004634085: hypothetical protein|unclassified	1160.76
UniRef50_UPI00046532D4: chemotaxis protein CheY, partial	1158.51
UniRef50_UPI00046532D4: chemotaxis protein CheY, partial|unclassified	1158.51
UniRef50_UPI00047A29AB: hypothetical protein, partial	1157.49
UniRef50_UPI00047A29AB: hypothetical protein, partial|unclassified	1157.49
UniRef50_Q8EF61: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon	1142.4
UniRef50_Q8EF61: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon|unclassified	1142.4
UniRef50_T2AJS1	1140.22
UniRef50_T2AJS1|unclassified	1140.22
UniRef50_UPI0003813966: hypothetical protein	1131.46
UniRef50_UPI0003813966: hypothetical protein|unclassified	1131.46
UniRef50_UPI000376A50F: hypothetical protein, partial	1121.67
UniRef50_UPI000376A50F: hypothetical protein, partial|unclassified	1121.67
UniRef50_Q09BH0	1119.31
UniRef50_Q09BH0|unclassified	1119.31
UniRef50_Q8RA16: Probable chemoreceptor glutamine deamidase CheD	1116.49
UniRef50_Q8RA16: Probable chemoreceptor glutamine deamidase CheD|unclassified	1116.49
UniRef50_Q56310: Chemotaxis protein CheA	1105.34
UniRef50_Q56310: Chemotaxis protein CheA|unclassified	1105.34
UniRef50_K5K6H4	1092.92
UniRef50_K5K6H4|unclassified	1092.92
UniRef50_UPI000466CD2A: hypothetical protein	1091.31
UniRef50_UPI000466CD2A: hypothetical protein|unclassified	1091.31
UniRef50_W7WA05	1087
UniRef50_W7WA05|unclassified	1087
UniRef50_UPI00016C38BC: purine-binding chemotaxis protein	1086.53
UniRef50_UPI00016C38BC: purine-binding chemotaxis protein|unclassified	1086.53
UniRef50_W7WZG6	1085.32
UniRef50_W7WZG6|unclassified	1085.32
UniRef50_UPI00038184FA: hypothetical protein	1084.19
UniRef50_UPI00038184FA: hypothetical protein|unclassified	1084.19
UniRef50_K8BHB2	1079.34
UniRef50_K8BHB2|unclassified	1079.34
UniRef50_W4RZD3	1070.1
UniRef50_W4RZD3|unclassified	1070.1
UniRef50_S6UB76: Response regulator/TPR domain protein (Fragment)	1068.64
UniRef50_S6UB76: Response regulator/TPR domain protein (Fragment)|unclassified	1068.64
UniRef50_UPI0003B54A55: chemotaxis protein	1062
UniRef50_UPI0003B54A55: chemotaxis protein|unclassified	1062
UniRef50_UPI000467575C: chemotaxis protein CheW	1057.57
UniRef50_UPI000467575C: chemotaxis protein CheW|unclassified	1057.57
UniRef50_Q31HL9: Chemotaxis response regulator protein-glutamate methylesterase	1055.3
UniRef50_Q31HL9: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	1055.3
UniRef50_UPI00016C4567: chemotaxis protein methyltransferase	1047.12
UniRef50_UPI00016C4567: chemotaxis protein methyltransferase|unclassified	1047.12
UniRef50_A9M9G9	1037.45
UniRef50_A9M9G9|unclassified	1037.45
UniRef50_Q30RX5: Chemotaxis response regulator protein-glutamate methylesterase	1034.19
UniRef50_Q30RX5: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	1034.19
UniRef50_UPI0001BF5D80: hypothetical protein SMAC_10033, partial	1032.05
UniRef50_UPI0001BF5D80: hypothetical protein SMAC_10033, partial|unclassified	1032.05
UniRef50_UPI00041FC1CE: protein phosphatase	1025.63
UniRef50_UPI00041FC1CE: protein phosphatase|unclassified	1025.63
UniRef50_R9RCC7	1021.03
UniRef50_R9RCC7|unclassified	1021.03
UniRef50_UPI00047008E1: chemotaxis protein, partial	1020.84
UniRef50_UPI00047008E1: chemotaxis protein, partial|unclassified	1020.84
UniRef50_UPI00036C1645: hypothetical protein	1010.21
UniRef50_UPI00036C1645: hypothetical protein|unclassified	1010.21
UniRef50_UPI000477E03C: chemotaxis protein CheW	1004.99
UniRef50_UPI000477E03C: chemotaxis protein CheW|unclassified	1004.99
UniRef50_O85128: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon	995.793
UniRef50_O85128: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon|unclassified	995.793
UniRef50_UPI00046CF145: hypothetical protein	995.119
UniRef50_UPI00046CF145: hypothetical protein|unclassified	995.119
UniRef50_UPI000372393B: hypothetical protein	992.992
UniRef50_UPI000372393B: hypothetical protein|unclassified	992.992
UniRef50_K8DFZ5	988.181
UniRef50_K8DFZ5|unclassified	988.181
UniRef50_V8VI41	975.47
UniRef50_V8VI41|unclassified	975.47
UniRef50_A5MZ48: Probable chemoreceptor glutamine deamidase CheD	972.713
UniRef50_A5MZ48: Probable chemoreceptor glutamine deamidase CheD|unclassified	972.713
UniRef50_UPI0001E2E35A: chemotaxis protein CheY	968.894
UniRef50_UPI0001E2E35A: chemotaxis protein CheY|unclassified	968.894
UniRef50_Q65JK2: Chemoreceptor glutamine deamidase CheD	955.95
UniRef50_Q65JK2: Chemoreceptor glutamine deamidase CheD|unclassified	955.95
UniRef50_UPI000476D3B9: hypothetical protein	955.834
UniRef50_UPI000476D3B9: hypothetical protein|unclassified	955.834
UniRef50_K8CV13	952.182
UniRef50_K8CV13|unclassified	952.182
UniRef50_UPI0003108C11: hypothetical protein	950.847
UniRef50_UPI0003108C11: hypothetical protein|unclassified	950.847
UniRef50_UPI000362D7F9: hypothetical protein	949.442
UniRef50_UPI000362D7F9: hypothetical protein|unclassified	949.442
UniRef50_UPI0003B6DD39: chemotaxis protein CheW	944.118
UniRef50_UPI0003B6DD39: chemotaxis protein CheW|unclassified	944.118
UniRef50_UPI00035CAEEE: hypothetical protein, partial	933.263
UniRef50_UPI00035CAEEE: hypothetical protein, partial|unclassified	933.263
UniRef50_UPI0002E84DEF: hypothetical protein	920.78
UniRef50_UPI0002E84DEF: hypothetical protein|unclassified	920.78
UniRef50_UPI000473735D: chemotaxis protein	915.81
UniRef50_UPI000473735D: chemotaxis protein|unclassified	915.81
UniRef50_UPI000291BCC6: CheB protein	913.457
UniRef50_UPI000291BCC6: CheB protein|unclassified	913.457
UniRef50_UPI0002D63536: chemotaxis protein	903.548
UniRef50_UPI0002D63536: chemotaxis protein|unclassified	903.548
UniRef50_UPI0003B4D3AD: chemotaxis protein CheW	893.013
UniRef50_UPI0003B4D3AD: chemotaxis protein CheW|unclassified	893.013
UniRef50_UPI000362CBA8: hypothetical protein	888.772
UniRef50_UPI000362CBA8: hypothetical protein|unclassified	888.772
UniRef50_Q88GG4: Putative methyltransferase Cher3	888.076
UniRef50_Q88GG4: Putative methyltransferase Cher3|unclassified	888.076
UniRef50_UPI00029CC73F: chemotaxis protein CheV, partial	886.691
UniRef50_UPI00029CC73F: chemotaxis protein CheV, partial|unclassified	886.691
UniRef50_W0YLW3	885.254
UniRef50_W0YLW3|unclassified	885.254
UniRef50_UPI00047419B0: chemotaxis protein	883.044
UniRef50_UPI00047419B0: chemotaxis protein|unclassified	883.044
UniRef50_UPI000470FF8A: chemotaxis protein CheY	882.868
UniRef50_UPI000470FF8A: chemotaxis protein CheY|unclassified	882.868
UniRef50_K5LBW6: Four helix bundle sensory module for signal transduction family protein	879.134
UniRef50_K5LBW6: Four helix bundle sensory module for signal transduction family protein|unclassified	879.134
UniRef50_UPI0002628B07: chemotaxis protein	876.318
UniRef50_UPI0002628B07: chemotaxis protein|unclassified	876.318
UniRef50_UPI00036898F1: hypothetical protein, partial	872.655
UniRef50_UPI00036898F1: hypothetical protein, partial|unclassified	872.655
UniRef50_Q3JSB8	871.736
UniRef50_Q3JSB8|unclassified	871.736
UniRef50_B1TGS4	870.464
UniRef50_B1TGS4|unclassified	870.464
UniRef50_UPI0004718B76: chemotaxis protein CheA, partial	863.844
UniRef50_UPI0004718B76: chemotaxis protein CheA, partial|unclassified	863.844
UniRef50_UPI0004625A5D: hypothetical protein, partial	861.063
UniRef50_UPI0004625A5D: hypothetical protein, partial|unclassified	861.063
UniRef50_UPI000372D1A3: hypothetical protein	856.822
UniRef50_UPI000372D1A3: hypothetical protein|unclassified	856.822
UniRef50_A0A018UXJ8: Methyl-galactoside ABC transporter galactose-binding periplasmic protein MglB (Fragment)	849.241
UniRef50_A0A018UXJ8: Methyl-galactoside ABC transporter galactose-binding periplasmic protein MglB (Fragment)|unclassified	849.241
UniRef50_UPI0003A9463F: chemotaxis protein CheR	848.776
UniRef50_UPI0003A9463F: chemotaxis protein CheR|unclassified	848.776
UniRef50_UPI000377C04A: hypothetical protein	847.178
UniRef50_UPI000377C04A: hypothetical protein|unclassified	847.178
UniRef50_UPI0004791861: chemotaxis protein CheW	846.401
UniRef50_UPI0004791861: chemotaxis protein CheW|unclassified	846.401
UniRef50_UPI00047A693B: chemotaxis protein CheY	845.852
UniRef50_UPI00047A693B: chemotaxis protein CheY|unclassified	845.852
UniRef50_Q4UU98: Probable chemoreceptor glutamine deamidase CheD	843.722
UniRef50_Q4UU98: Probable chemoreceptor glutamine deamidase CheD|unclassified	843.722
