# Gene Family	SampleArginine_Biosynthesis_extended_Abundance-CPM
UniRef50_C0Z6S0: Argininosuccinate synthase|unclassified	3673.95
UniRef50_A5F4Z5: Acetylglutamate kinase	3634.33
UniRef50_A5F4Z5: Acetylglutamate kinase|unclassified	3634.33
UniRef50_B4RKY8: Succinyl-diaminopimelate desuccinylase	3612.1
UniRef50_B4RKY8: Succinyl-diaminopimelate desuccinylase|unclassified	3612.1
UniRef50_B4F1G9: Argininosuccinate lyase	3612.09
UniRef50_B4F1G9: Argininosuccinate lyase|unclassified	3612.09
UniRef50_Q9K8V3: Arginine biosynthesis bifunctional protein ArgJ	3579.44
UniRef50_Q9K8V3: Arginine biosynthesis bifunctional protein ArgJ|unclassified	3579.44
UniRef50_Q04MW7: Argininosuccinate synthase	3502.32
UniRef50_Q04MW7: Argininosuccinate synthase|unclassified	3502.32
UniRef50_W7WJQ6	3495.2
UniRef50_W7WJQ6|unclassified	3495.2
UniRef50_Q8XZZ5: Amino-acid acetyltransferase	3483.26
UniRef50_Q8XZZ5: Amino-acid acetyltransferase|unclassified	3483.26
UniRef50_Q48F49: Succinyl-diaminopimelate desuccinylase	3456.54
UniRef50_Q48F49: Succinyl-diaminopimelate desuccinylase|unclassified	3456.54
UniRef50_UPI00046E5B63: hypothetical protein, partial	3405.81
UniRef50_UPI00046E5B63: hypothetical protein, partial|unclassified	3405.81
UniRef50_Q12SM7: Argininosuccinate synthase	3375.84
UniRef50_Q12SM7: Argininosuccinate synthase|unclassified	3375.84
UniRef50_Q47BM0: Argininosuccinate synthase	3374.78
UniRef50_Q47BM0: Argininosuccinate synthase|unclassified	3374.78
UniRef50_UPI000465BA9F: succinyl-diaminopimelate desuccinylase, partial	3370.16
UniRef50_UPI000465BA9F: succinyl-diaminopimelate desuccinylase, partial|unclassified	3370.16
UniRef50_V8FL01	3298.55
UniRef50_V8FL01|unclassified	3298.55
UniRef50_A8IPV3: Acetylglutamate kinase	3294.26
UniRef50_A8IPV3: Acetylglutamate kinase|unclassified	3294.26
UniRef50_Q3SJE0: Succinyl-diaminopimelate desuccinylase	3286.96
UniRef50_Q3SJE0: Succinyl-diaminopimelate desuccinylase|unclassified	3286.96
UniRef50_Q2JXY9: Argininosuccinate lyase	3231.07
UniRef50_Q2JXY9: Argininosuccinate lyase|unclassified	3231.07
UniRef50_P0C2U0: Ornithine carbamoyltransferase, catabolic	3211.4
UniRef50_P0C2U0: Ornithine carbamoyltransferase, catabolic|unclassified	3211.4
UniRef50_Q5LXZ9: Argininosuccinate lyase	3207.44
UniRef50_Q5LXZ9: Argininosuccinate lyase|unclassified	3207.44
UniRef50_Q63QK7: Arginine biosynthesis bifunctional protein ArgJ	3191.99
UniRef50_Q63QK7: Arginine biosynthesis bifunctional protein ArgJ|unclassified	3191.99
UniRef50_Q6GAW6: Argininosuccinate lyase	3165.64
UniRef50_Q6GAW6: Argininosuccinate lyase|unclassified	3165.64
UniRef50_Q2YUZ7: Acetylglutamate kinase	3147.41
UniRef50_Q2YUZ7: Acetylglutamate kinase|unclassified	3147.41
UniRef50_Q8A1E9: N-acetylornithine carbamoyltransferase	3120
UniRef50_Q8A1E9: N-acetylornithine carbamoyltransferase|unclassified	3120
UniRef50_A7X0H4: Argininosuccinate lyase	3107.9
UniRef50_A7X0H4: Argininosuccinate lyase|unclassified	3107.9
UniRef50_A4SIM5: Argininosuccinate synthase	3095.52
UniRef50_A4SIM5: Argininosuccinate synthase|unclassified	3095.52
UniRef50_W7X7V9	3093.31
UniRef50_W7X7V9|unclassified	3093.31
UniRef50_UPI0003B71251: hypothetical protein, partial	3053.74
UniRef50_UPI0003B71251: hypothetical protein, partial|unclassified	3053.74
UniRef50_P36843: Arginine biosynthesis bifunctional protein ArgJ	3041.86
UniRef50_P36843: Arginine biosynthesis bifunctional protein ArgJ|unclassified	3041.86
UniRef50_Q88AR2: Amino-acid acetyltransferase	2937.08
UniRef50_Q88AR2: Amino-acid acetyltransferase|unclassified	2937.08
UniRef50_UPI0003670DF4: hypothetical protein, partial	2929.25
UniRef50_UPI0003670DF4: hypothetical protein, partial|unclassified	2929.25
UniRef50_A5CSI8: Argininosuccinate lyase	2917.3
UniRef50_A5CSI8: Argininosuccinate lyase|unclassified	2917.3
UniRef50_Q9SZX3: Argininosuccinate synthase, chloroplastic	2878.19
UniRef50_Q9SZX3: Argininosuccinate synthase, chloroplastic|unclassified	2878.19
UniRef50_B7IWP4: Acetylglutamate kinase	2852.01
UniRef50_B7IWP4: Acetylglutamate kinase|unclassified	2852.01
UniRef50_P59620: Bifunctional protein ArgH	2803.36
UniRef50_P59620: Bifunctional protein ArgH|unclassified	2803.36
UniRef50_UPI0003674450: hypothetical protein, partial	2764.57
UniRef50_UPI0003674450: hypothetical protein, partial|unclassified	2764.57
UniRef50_UPI0003C12F43: PREDICTED: acetylornithine aminotransferase, chloroplastic/mitochondrial-like	2760.43
UniRef50_UPI0003C12F43: PREDICTED: acetylornithine aminotransferase, chloroplastic/mitochondrial-like|unclassified	2760.43
UniRef50_Q81M98: Acetylornithine aminotransferase	2753.47
UniRef50_Q81M98: Acetylornithine aminotransferase|unclassified	2753.47
UniRef50_C3K475: Acetylglutamate kinase	2677.37
UniRef50_C3K475: Acetylglutamate kinase|unclassified	2677.37
UniRef50_Q8ET05: Ornithine carbamoyltransferase	2637.24
UniRef50_Q8ET05: Ornithine carbamoyltransferase|unclassified	2637.24
UniRef50_Q12C18: Succinyl-diaminopimelate desuccinylase	2626.48
UniRef50_Q12C18: Succinyl-diaminopimelate desuccinylase|unclassified	2626.48
UniRef50_Q58131: Acetylornithine aminotransferase	2609.31
UniRef50_Q58131: Acetylornithine aminotransferase|unclassified	2609.31
UniRef50_Q8Y339: N-acetyl-gamma-glutamyl-phosphate reductase	2579.46
UniRef50_Q8Y339: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	2579.46
UniRef50_Q2YA02: Acetylglutamate kinase	2546.87
UniRef50_Q2YA02: Acetylglutamate kinase|unclassified	2546.87
UniRef50_P30900: Acetylornithine aminotransferase	2532.93
UniRef50_P30900: Acetylornithine aminotransferase|unclassified	2532.93
UniRef50_V8Z2T8	2530.79
UniRef50_V8Z2T8|unclassified	2530.79
UniRef50_A6U5J1: Succinyl-diaminopimelate desuccinylase	2509.72
UniRef50_A6U5J1: Succinyl-diaminopimelate desuccinylase|unclassified	2509.72
UniRef50_UPI0004639BB5: acetylornithine deacetylase, partial	2503.71
UniRef50_UPI0004639BB5: acetylornithine deacetylase, partial|unclassified	2503.71
UniRef50_Q9HW04: Arginine biosynthesis bifunctional protein ArgJ	2490.62
UniRef50_Q9HW04: Arginine biosynthesis bifunctional protein ArgJ|unclassified	2490.62
UniRef50_Q5E2E8: Bifunctional protein ArgH	2471.59
UniRef50_Q5E2E8: Bifunctional protein ArgH|unclassified	2471.59
UniRef50_A8F7Z9: Ornithine carbamoyltransferase	2435.08
UniRef50_A8F7Z9: Ornithine carbamoyltransferase|unclassified	2435.08
UniRef50_Q5P706: Arginine biosynthesis bifunctional protein ArgJ	2416.62
UniRef50_Q5P706: Arginine biosynthesis bifunctional protein ArgJ|unclassified	2416.62
UniRef50_Q4FT48: Ornithine carbamoyltransferase	2392.83
UniRef50_Q4FT48: Ornithine carbamoyltransferase|unclassified	2392.83
UniRef50_Q9CC14: Arginine biosynthesis bifunctional protein ArgJ	2364.14
UniRef50_Q9CC14: Arginine biosynthesis bifunctional protein ArgJ|unclassified	2364.14
UniRef50_Q8Y3E7: Acetylglutamate kinase	2357.28
UniRef50_Q8Y3E7: Acetylglutamate kinase|unclassified	2357.28
UniRef50_Q2P492: Succinyl-diaminopimelate desuccinylase	2354.05
UniRef50_Q2P492: Succinyl-diaminopimelate desuccinylase|unclassified	2354.05
UniRef50_A1U6L0: Acetylglutamate kinase	2333.8
UniRef50_A1U6L0: Acetylglutamate kinase|unclassified	2333.8
UniRef50_Q2FK78: N-acetyl-gamma-glutamyl-phosphate reductase	2325.03
UniRef50_Q2FK78: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	2325.03
UniRef50_UPI0001850C2E: acetylornithine deacetylase	2295.26
UniRef50_UPI0001850C2E: acetylornithine deacetylase|unclassified	2295.26
UniRef50_R4LXU2	2279.97
UniRef50_R4LXU2|unclassified	2279.97
UniRef50_Q64Z15: Argininosuccinate lyase	2256.48
UniRef50_Q64Z15: Argininosuccinate lyase|unclassified	2256.48
UniRef50_UPI00046897A2: ornithine carbamoyltransferase	2248.29
UniRef50_UPI00046897A2: ornithine carbamoyltransferase|unclassified	2248.29
UniRef50_UPI000478A732: ornithine carbamoyltransferase	2245.84
UniRef50_UPI000478A732: ornithine carbamoyltransferase|unclassified	2245.84
UniRef50_B1IK08: Argininosuccinate synthase	2239.06
UniRef50_B1IK08: Argininosuccinate synthase|unclassified	2239.06
UniRef50_B1TH31	2236.76
UniRef50_B1TH31|unclassified	2236.76
UniRef50_UPI0003C176FD: PREDICTED: argininosuccinate synthase, chloroplastic-like	2199.29
UniRef50_UPI0003C176FD: PREDICTED: argininosuccinate synthase, chloroplastic-like|unclassified	2199.29
UniRef50_A7GXA8: Argininosuccinate lyase	2173.05
UniRef50_A7GXA8: Argininosuccinate lyase|unclassified	2173.05
UniRef50_UPI00029B022C: N-acetylglutamate synthase, partial	2167.73
UniRef50_UPI00029B022C: N-acetylglutamate synthase, partial|unclassified	2167.73
UniRef50_V2A8W8	2156.8
UniRef50_V2A8W8|unclassified	2156.8
UniRef50_K2AD42	2153.88
UniRef50_K2AD42|unclassified	2153.88
UniRef50_Q8Y6U5: Ornithine carbamoyltransferase	2140.49
UniRef50_Q8Y6U5: Ornithine carbamoyltransferase|unclassified	2140.49
UniRef50_UPI000234E45E: PREDICTED: argininosuccinate synthase, chloroplastic-like	2136.05
UniRef50_UPI000234E45E: PREDICTED: argininosuccinate synthase, chloroplastic-like|unclassified	2136.05
UniRef50_UPI0003B5776A: acetylornithine aminotransferase, partial	2094.44
UniRef50_UPI0003B5776A: acetylornithine aminotransferase, partial|unclassified	2094.44
UniRef50_P59318: Acetylornithine aminotransferase	2091.57
UniRef50_P59318: Acetylornithine aminotransferase|unclassified	2091.57
UniRef50_A1ET64: Nucleoside recognition (Fragment)	2081.09
UniRef50_A1ET64: Nucleoside recognition (Fragment)|unclassified	2081.09
UniRef50_Q5LHZ1: N-acetyl-gamma-glutamyl-phosphate reductase	2075.66
UniRef50_Q5LHZ1: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	2075.66
UniRef50_UPI000470F989: argininosuccinate lyase	2047.94
UniRef50_UPI000470F989: argininosuccinate lyase|unclassified	2047.94
UniRef50_Q5HKI1: Probable succinyl-diaminopimelate desuccinylase	2038.9
UniRef50_Q5HKI1: Probable succinyl-diaminopimelate desuccinylase|unclassified	2038.9
UniRef50_Q4FNX4: Argininosuccinate synthase	2036.38
UniRef50_Q4FNX4: Argininosuccinate synthase|unclassified	2036.38
UniRef50_B7GTP2: Ornithine carbamoyltransferase	2033.11
UniRef50_B7GTP2: Ornithine carbamoyltransferase|unclassified	2033.11
UniRef50_K0EUV5: Ion transporter	2032.16
UniRef50_K0EUV5: Ion transporter|unclassified	2032.16
UniRef50_A8LE44: Ornithine carbamoyltransferase	2012.64
UniRef50_A8LE44: Ornithine carbamoyltransferase|unclassified	2012.64
UniRef50_W1HRS4	2005.41
UniRef50_W1HRS4|unclassified	2005.41
UniRef50_UPI00036357F5: hypothetical protein, partial	1994.27
UniRef50_UPI00036357F5: hypothetical protein, partial|unclassified	1994.27
UniRef50_UPI000472B8EE: hypothetical protein, partial	1990.11
UniRef50_UPI000472B8EE: hypothetical protein, partial|unclassified	1990.11
UniRef50_Q9ZB62: Ornithine carbamoyltransferase	1988.5
UniRef50_Q9ZB62: Ornithine carbamoyltransferase|unclassified	1988.5
UniRef50_A0PP75: Acetylglutamate kinase	1983.19
UniRef50_A0PP75: Acetylglutamate kinase|unclassified	1983.19
UniRef50_W7JNR7	1982.01
UniRef50_W7JNR7|unclassified	1982.01
UniRef50_UPI0002192E8A: argininosuccinate synthase, partial	1981.35
UniRef50_UPI0002192E8A: argininosuccinate synthase, partial|unclassified	1981.35
UniRef50_B0TL88: N-acetyl-gamma-glutamyl-phosphate reductase	1977.16
UniRef50_B0TL88: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1977.16
UniRef50_Q3JWY9	1967.52
UniRef50_Q3JWY9|unclassified	1967.52
UniRef50_B2V6Y7: Argininosuccinate lyase	1952.5
UniRef50_B2V6Y7: Argininosuccinate lyase|unclassified	1952.5
UniRef50_UPI000473C59D: hypothetical protein, partial	1949.57
UniRef50_UPI000473C59D: hypothetical protein, partial|unclassified	1949.57
UniRef50_Q59279: N-acetyl-gamma-glutamyl-phosphate reductase	1925.45
UniRef50_Q59279: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1925.45
UniRef50_UPI00046AD32A: acetylornithine deacetylase	1909.91
UniRef50_UPI00046AD32A: acetylornithine deacetylase|unclassified	1909.91
UniRef50_A0A014QGG2	1908.3
UniRef50_A0A014QGG2|unclassified	1908.3
UniRef50_Q46I72: Argininosuccinate synthase	1898.86
UniRef50_Q46I72: Argininosuccinate synthase|unclassified	1898.86
UniRef50_UPI0004736E2C: hypothetical protein, partial	1892.79
UniRef50_UPI0004736E2C: hypothetical protein, partial|unclassified	1892.79
UniRef50_Q8XWN8: Acetylornithine aminotransferase	1877.07
UniRef50_Q8XWN8: Acetylornithine aminotransferase|unclassified	1877.07
UniRef50_UPI0003748675: hypothetical protein	1869.2
UniRef50_UPI0003748675: hypothetical protein|unclassified	1869.2
UniRef50_O87319: Ornithine carbamoyltransferase	1868.03
UniRef50_O87319: Ornithine carbamoyltransferase|unclassified	1868.03
UniRef50_A5CXF1: Acetylglutamate kinase	1864.8
UniRef50_A5CXF1: Acetylglutamate kinase|unclassified	1864.8
UniRef50_UPI0003C1003F: PREDICTED: probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic-like	1864.5
UniRef50_UPI0003C1003F: PREDICTED: probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic-like|unclassified	1864.5
UniRef50_Q74GU4: Acetylglutamate kinase	1852.19
UniRef50_Q74GU4: Acetylglutamate kinase|unclassified	1852.19
UniRef50_Q3SFH1: Acetylglutamate kinase	1848.95
UniRef50_Q3SFH1: Acetylglutamate kinase|unclassified	1848.95
UniRef50_P57155: Acetylornithine deacetylase	1839.4
UniRef50_P57155: Acetylornithine deacetylase|unclassified	1839.4
UniRef50_Q57AV8: Arginine biosynthesis bifunctional protein ArgJ	1837.74
UniRef50_Q57AV8: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1837.74
UniRef50_Q8P5Q4: Acetylornithine aminotransferase	1821.87
UniRef50_Q8P5Q4: Acetylornithine aminotransferase|unclassified	1821.87
UniRef50_Q9X2A3: Arginine biosynthesis bifunctional protein ArgJ	1818.61
UniRef50_Q9X2A3: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1818.61
UniRef50_Q4MMY0	1804.58
UniRef50_Q4MMY0|unclassified	1804.58
UniRef50_Q5ZY77: Argininosuccinate lyase	1781.63
UniRef50_Q5ZY77: Argininosuccinate lyase|unclassified	1781.63
UniRef50_Q9RWJ0: Argininosuccinate lyase	1768.42
UniRef50_Q9RWJ0: Argininosuccinate lyase|unclassified	1768.42
UniRef50_V4R7E6	1755.47
UniRef50_V4R7E6|unclassified	1755.47
UniRef50_Q38ZT5: N-acetyl-gamma-glutamyl-phosphate reductase	1754.29
UniRef50_Q38ZT5: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1754.29
UniRef50_UPI000169DAD3: argininosuccinate lyase, partial	1753.25
UniRef50_UPI000169DAD3: argininosuccinate lyase, partial|unclassified	1753.25
UniRef50_R4MGQ5	1750.1
UniRef50_R4MGQ5|unclassified	1750.1
UniRef50_Q89M35: Blr4358 protein	1738.56
UniRef50_Q89M35: Blr4358 protein|unclassified	1738.56
UniRef50_Q6FED8: Arginine biosynthesis bifunctional protein ArgJ	1730.73
UniRef50_Q6FED8: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1730.73
UniRef50_UPI0003688A9C: AraC family transcriptional regulator, partial	1730.5
UniRef50_UPI0003688A9C: AraC family transcriptional regulator, partial|unclassified	1730.5
UniRef50_B4S0H8: N-acetyl-gamma-glutamyl-phosphate reductase	1729.2
UniRef50_B4S0H8: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1729.2
UniRef50_P59610: Arginine biosynthesis bifunctional protein ArgJ	1709.74
UniRef50_P59610: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1709.74
UniRef50_A1A1X1: Acetylglutamate kinase	1700.49
UniRef50_A1A1X1: Acetylglutamate kinase|unclassified	1700.49
UniRef50_P73133: Acetylornithine aminotransferase	1674.48
UniRef50_P73133: Acetylornithine aminotransferase|unclassified	1674.48
UniRef50_Q87DM8: Acetylornithine aminotransferase	1661.1
UniRef50_Q87DM8: Acetylornithine aminotransferase|unclassified	1661.1
UniRef50_C6SHD0	1655.7
UniRef50_C6SHD0|unclassified	1655.7
UniRef50_UPI000364791F: hypothetical protein	1652.71
UniRef50_UPI000364791F: hypothetical protein|unclassified	1652.71
UniRef50_Q7U5V5: Ornithine carbamoyltransferase	1652.4
UniRef50_Q7U5V5: Ornithine carbamoyltransferase|unclassified	1652.4
UniRef50_P61527: Argininosuccinate synthase	1644.68
UniRef50_P61527: Argininosuccinate synthase|unclassified	1644.68
UniRef50_UPI0004717ABE: hypothetical protein, partial	1624.79
UniRef50_UPI0004717ABE: hypothetical protein, partial|unclassified	1624.79
UniRef50_Q89LG2: Acetylornithine aminotransferase 2	1614.88
UniRef50_Q89LG2: Acetylornithine aminotransferase 2|unclassified	1614.88
UniRef50_A7Z3A7: N-acetyl-gamma-glutamyl-phosphate reductase	1604.21
UniRef50_A7Z3A7: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1604.21
UniRef50_A6KXY8: Arginine repressor	1599.68
UniRef50_A6KXY8: Arginine repressor|unclassified	1599.68
UniRef50_Q92MJ1: Arginine biosynthesis bifunctional protein ArgJ	1598.15
UniRef50_Q92MJ1: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1598.15
UniRef50_B9MRP4: Argininosuccinate lyase	1590.71
UniRef50_B9MRP4: Argininosuccinate lyase|unclassified	1590.71
UniRef50_Q71Z78: Acetylglutamate kinase	1589.13
UniRef50_Q71Z78: Acetylglutamate kinase|unclassified	1589.13
UniRef50_B8H555: N-acetyl-gamma-glutamyl-phosphate reductase	1580.03
UniRef50_B8H555: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1580.03
UniRef50_Q72C18: Acetylglutamate kinase	1577.68
UniRef50_Q72C18: Acetylglutamate kinase|unclassified	1577.68
UniRef50_UPI0001B4418A: ornithine carbamoyltransferase	1564.08
UniRef50_UPI0001B4418A: ornithine carbamoyltransferase|unclassified	1564.08
UniRef50_Q9A652: Acetylornithine aminotransferase 2	1561.33
UniRef50_Q9A652: Acetylornithine aminotransferase 2|unclassified	1561.33
UniRef50_A5D504: N-acetyl-gamma-glutamyl-phosphate reductase	1557.28
UniRef50_A5D504: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1557.28
UniRef50_P9WPY8: Arginine repressor	1555.61
UniRef50_P9WPY8: Arginine repressor|unclassified	1555.61
UniRef50_UPI000474CA5A: hypothetical protein	1550.7
UniRef50_UPI000474CA5A: hypothetical protein|unclassified	1550.7
UniRef50_Q9L1A5: Arginine repressor	1548.58
UniRef50_Q9L1A5: Arginine repressor|unclassified	1548.58
UniRef50_A6F9C9	1547.68
UniRef50_A6F9C9|unclassified	1547.68
UniRef50_UPI00040F087B: ornithine carbamoyltransferase	1544.98
UniRef50_UPI00040F087B: ornithine carbamoyltransferase|unclassified	1544.98
UniRef50_Q2JHF7: Acetylglutamate kinase	1541.79
UniRef50_Q2JHF7: Acetylglutamate kinase|unclassified	1541.79
UniRef50_A2BND8: Argininosuccinate lyase	1536.85
UniRef50_A2BND8: Argininosuccinate lyase|unclassified	1536.85
UniRef50_Q8EK29: Ornithine carbamoyltransferase	1524.26
UniRef50_Q8EK29: Ornithine carbamoyltransferase|unclassified	1524.26
UniRef50_UPI000474A438: hypothetical protein	1519.87
UniRef50_UPI000474A438: hypothetical protein|unclassified	1519.87
UniRef50_Q8TUZ5: Acetylornithine aminotransferase	1518.95
UniRef50_Q8TUZ5: Acetylornithine aminotransferase|unclassified	1518.95
UniRef50_Q2P2F7: Argininosuccinate lyase	1516.38
UniRef50_Q2P2F7: Argininosuccinate lyase|unclassified	1516.38
UniRef50_UPI00046F229A: acetylornithine aminotransferase, partial	1491.66
UniRef50_UPI00046F229A: acetylornithine aminotransferase, partial|unclassified	1491.66
UniRef50_UPI00037F8702: hypothetical protein	1487.53
UniRef50_UPI00037F8702: hypothetical protein|unclassified	1487.53
UniRef50_Q59928: Acetylornithine aminotransferase	1477
UniRef50_Q59928: Acetylornithine aminotransferase|unclassified	1477
UniRef50_Q8EVF5: Ornithine carbamoyltransferase, catabolic	1473.55
UniRef50_Q8EVF5: Ornithine carbamoyltransferase, catabolic|unclassified	1473.55
UniRef50_Q8G5F0: Arginine biosynthesis bifunctional protein ArgJ	1468.62
UniRef50_Q8G5F0: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1468.62
UniRef50_P36839: Acetylornithine aminotransferase	1464.7
UniRef50_P36839: Acetylornithine aminotransferase|unclassified	1464.7
UniRef50_UPI000473F7AC: argininosuccinate synthase, partial	1463.28
UniRef50_UPI000473F7AC: argininosuccinate synthase, partial|unclassified	1463.28
UniRef50_UPI0003713B0C: hypothetical protein	1447.55
UniRef50_UPI0003713B0C: hypothetical protein|unclassified	1447.55
UniRef50_H4FCK9	1447.01
UniRef50_H4FCK9|unclassified	1447.01
UniRef50_Q8DHN4: Arginine biosynthesis bifunctional protein ArgJ	1429.13
UniRef50_Q8DHN4: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1429.13
UniRef50_B0TL87: Acetylglutamate kinase	1428.65
UniRef50_B0TL87: Acetylglutamate kinase|unclassified	1428.65
UniRef50_Q97GH6: Arginine biosynthesis bifunctional protein ArgJ 1	1426.98
UniRef50_Q97GH6: Arginine biosynthesis bifunctional protein ArgJ 1|unclassified	1426.98
UniRef50_B0JXE8: N-acetyl-gamma-glutamyl-phosphate reductase	1423.99
UniRef50_B0JXE8: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1423.99
UniRef50_UPI000289F77E: N-acetyl-gamma-glutamyl-phosphate reductase, partial	1423.35
