# Gene Family	SampleCobalt-zinc-cadmium_resistance_Abundance-RPKs
UniRef50_UPI000468AF24: cation diffusion facilitator family transporter, partial	612.0305549182
UniRef50_UPI000468AF24: cation diffusion facilitator family transporter, partial|unclassified	612.0305549182
UniRef50_A0A011QGY0	611.9843663201
UniRef50_A0A011QGY0|unclassified	611.9843663201
UniRef50_U5SE53	605.2261989421
UniRef50_U5SE53|unclassified	605.2261989421
UniRef50_UPI0003D793E8: hypothetical protein	600.5106768693
UniRef50_UPI0003D793E8: hypothetical protein|unclassified	600.5106768693
UniRef50_A8FFS2: Quinolinate synthase A	600.0427285513
UniRef50_A8FFS2: Quinolinate synthase A|unclassified	600.0427285513
UniRef50_UPI00035D2E27: transporter, partial	596.9510665977
UniRef50_UPI00035D2E27: transporter, partial|unclassified	596.9510665977
UniRef50_W1DMS0: Cation efflux system protein CusF	594.6146411294
UniRef50_W1DMS0: Cation efflux system protein CusF|unclassified	594.6146411294
UniRef50_UPI000380047C: hypothetical protein, partial	591.7515333029
UniRef50_UPI000380047C: hypothetical protein, partial|unclassified	591.7515333029
UniRef50_Q4MWM6	589.3899854731
UniRef50_Q4MWM6|unclassified	589.3899854731
UniRef50_A0A022FMN5: 4-amino-4-deoxy-L-arabinose transferase	587.6320669275
UniRef50_A0A022FMN5: 4-amino-4-deoxy-L-arabinose transferase|unclassified	587.6320669275
UniRef50_UPI0003A9EAA5: threonine transporter RhtB	582.8734019188
UniRef50_UPI0003A9EAA5: threonine transporter RhtB|unclassified	582.8734019188
UniRef50_UPI0003763CAD: hypothetical protein, partial	560.6990447691
UniRef50_UPI0003763CAD: hypothetical protein, partial|unclassified	560.6990447691
UniRef50_B8ISV4: Trans-aconitate 2-methyltransferase	560.6440876094
UniRef50_B8ISV4: Trans-aconitate 2-methyltransferase|unclassified	560.6440876094
UniRef50_UPI0003DE8BE2: PREDICTED: metal tolerance protein 12-like, partial	541.1315575237
UniRef50_UPI0003DE8BE2: PREDICTED: metal tolerance protein 12-like, partial|unclassified	541.1315575237
UniRef50_A0A011NRR8	522.9236675846
UniRef50_A0A011NRR8|unclassified	522.9236675846
UniRef50_W7WNH8	513.8673705748
UniRef50_W7WNH8|unclassified	513.8673705748
UniRef50_S5YUX6	512.5611301365
UniRef50_S5YUX6|unclassified	512.5611301365
UniRef50_UPI0003A8BB10: zinc transporter ZitB	511.4686259589
UniRef50_UPI0003A8BB10: zinc transporter ZitB|unclassified	511.4686259589
UniRef50_B7JYJ9: Quinolinate synthase A	496.3113284702
UniRef50_B7JYJ9: Quinolinate synthase A|unclassified	496.3113284702
UniRef50_A2C9Z7: Quinolinate synthase A	495.7380221086
UniRef50_A2C9Z7: Quinolinate synthase A|unclassified	495.7380221086
UniRef50_UPI00036A8CA0: hypothetical protein	494.9666994364
UniRef50_UPI00036A8CA0: hypothetical protein|unclassified	494.9666994364
UniRef50_UPI0003F71A15: cation transporter	488.2405830012
UniRef50_UPI0003F71A15: cation transporter|unclassified	488.2405830012
UniRef50_A0A011PMC7	475.9385760818
UniRef50_A0A011PMC7|unclassified	475.9385760818
UniRef50_K2DIN8	475.0604793914
UniRef50_K2DIN8|unclassified	475.0604793914
UniRef50_Q8XBY4: Sensor kinase CusS	473.2123533163
UniRef50_Q8XBY4: Sensor kinase CusS|unclassified	473.2123533163
UniRef50_UPI00037C95A2: hypothetical protein, partial	471.6088008014
UniRef50_UPI00037C95A2: hypothetical protein, partial|unclassified	471.6088008014
UniRef50_UPI0001E8BB0B: hypothetical protein	459.1190585404
UniRef50_UPI0001E8BB0B: hypothetical protein|unclassified	459.1190585404
UniRef50_V5G1L2: Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	444.8802759120
UniRef50_V5G1L2: Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family|unclassified	444.8802759120
UniRef50_B8H2F3: Quinolinate synthase A	436.9420869578
UniRef50_B8H2F3: Quinolinate synthase A|unclassified	436.9420869578
UniRef50_UPI00046A3BAF: transcriptional regulator, partial	435.5616500356
UniRef50_UPI00046A3BAF: transcriptional regulator, partial|unclassified	435.5616500356
UniRef50_UPI00035B3747: hypothetical protein	433.4020938709
UniRef50_UPI00035B3747: hypothetical protein|unclassified	433.4020938709
UniRef50_A0A011N659	430.8663078048
UniRef50_A0A011N659|unclassified	430.8663078048
UniRef50_UPI0001817172: putative cation efflux system transmembrane protein	430.6933597926
UniRef50_UPI0001817172: putative cation efflux system transmembrane protein|unclassified	430.6933597926
UniRef50_B2HNX5: Trans-aconitate 2-methyltransferase	429.5035334851
UniRef50_B2HNX5: Trans-aconitate 2-methyltransferase|unclassified	429.5035334851
UniRef50_F0GD16: RND family efflux transporter MFP subunit (Fragment)	429.4917317405
UniRef50_F0GD16: RND family efflux transporter MFP subunit (Fragment)|unclassified	429.4917317405
UniRef50_A9M6C1: Trans-aconitate 2-methyltransferase	428.9215474292
UniRef50_A9M6C1: Trans-aconitate 2-methyltransferase|unclassified	428.9215474292
UniRef50_B1T6E7	428.4638522737
UniRef50_B1T6E7|unclassified	428.4638522737
UniRef50_UPI000465122D: hypothetical protein, partial	426.6272966930
UniRef50_UPI000465122D: hypothetical protein, partial|unclassified	426.6272966930
UniRef50_F3FUU0: Secretion protein HlyD (Fragment)	426.1940059972
UniRef50_F3FUU0: Secretion protein HlyD (Fragment)|unclassified	426.1940059972
UniRef50_U3TUE5	425.5698788680
UniRef50_U3TUE5|unclassified	425.5698788680
UniRef50_UPI0003B47C34: cation transporter	419.8543919271
UniRef50_UPI0003B47C34: cation transporter|unclassified	419.8543919271
UniRef50_UPI00016ACEC6: cation efflux family protein	419.8346863153
UniRef50_UPI00016ACEC6: cation efflux family protein|unclassified	419.8346863153
UniRef50_F0GI95: Drug/metabolite transporter (DMT) superfamily permease (Fragment)	417.9978715594
UniRef50_F0GI95: Drug/metabolite transporter (DMT) superfamily permease (Fragment)|unclassified	417.9978715594
UniRef50_UPI00039D01F1: transcriptional regulator	415.9490683066
UniRef50_UPI00039D01F1: transcriptional regulator|unclassified	415.9490683066
UniRef50_Q6LN63: Hydroxyacylglutathione hydrolase	414.0972222360
UniRef50_Q6LN63: Hydroxyacylglutathione hydrolase|unclassified	414.0972222360
UniRef50_UPI0004725522: hypothetical protein	412.8985207721
UniRef50_UPI0004725522: hypothetical protein|unclassified	412.8985207721
UniRef50_UPI00016A2AB7: transporter	411.7313753985
UniRef50_UPI00016A2AB7: transporter|unclassified	411.7313753985
UniRef50_E8P0P1: Permease of the drug/metabolite transporter(DMT) superfamily	407.7593947053
UniRef50_E8P0P1: Permease of the drug/metabolite transporter(DMT) superfamily|unclassified	407.7593947053
UniRef50_UPI00036E3916: hypothetical protein	398.3768114579
UniRef50_UPI00036E3916: hypothetical protein|unclassified	398.3768114579
UniRef50_UPI0002556BA8: DMT transporter permease	395.8311602453
UniRef50_UPI0002556BA8: DMT transporter permease|unclassified	395.8311602453
UniRef50_UPI000370AB06: hypothetical protein	389.6932444080
UniRef50_UPI000370AB06: hypothetical protein|unclassified	389.6932444080
UniRef50_UPI00044220DD	379.5688596504
UniRef50_UPI00044220DD|unclassified	379.5688596504
UniRef50_UPI00046C9CAD: zinc-responsive transcriptional regulator	379.1643568378
UniRef50_UPI00046C9CAD: zinc-responsive transcriptional regulator|unclassified	379.1643568378
UniRef50_UPI00029AA74B: two component heavy metal response transcriptional regulator	376.6547575630
UniRef50_UPI00029AA74B: two component heavy metal response transcriptional regulator|unclassified	376.6547575630
UniRef50_UPI00046FBB17: hypothetical protein	376.2072067901
UniRef50_UPI00046FBB17: hypothetical protein|unclassified	376.2072067901
UniRef50_UPI00016ADB1F: RND transporter	372.9728422615
UniRef50_UPI00016ADB1F: RND transporter|unclassified	372.9728422615
UniRef50_UPI0004644A39: cation transporter, partial	372.7848877201
UniRef50_UPI0004644A39: cation transporter, partial|unclassified	372.7848877201
UniRef50_P65498: Quinolinate synthase A	371.4429298468
UniRef50_P65498: Quinolinate synthase A|unclassified	371.4429298468
UniRef50_A9BVK1: Trans-aconitate 2-methyltransferase	370.4432180306
UniRef50_A9BVK1: Trans-aconitate 2-methyltransferase|unclassified	370.4432180306
UniRef50_A9B1Q2: Quinolinate synthase A	368.4102735684
UniRef50_A9B1Q2: Quinolinate synthase A|unclassified	368.4102735684
UniRef50_D1WN86: Metallo-beta-lactamase domain protein	365.0813916392
UniRef50_D1WN86: Metallo-beta-lactamase domain protein|unclassified	365.0813916392
UniRef50_UPI000465ED91: hypothetical protein, partial	360.9593858491
UniRef50_UPI000465ED91: hypothetical protein, partial|unclassified	360.9593858491
UniRef50_UPI000415AC00: transporter	356.1961772323
UniRef50_UPI000415AC00: transporter|unclassified	356.1961772323
UniRef50_Q8NRI0: Quinolinate synthase A	355.4489605098
UniRef50_Q8NRI0: Quinolinate synthase A|unclassified	355.4489605098
UniRef50_R7ESA5	354.4834616514
UniRef50_R7ESA5|unclassified	354.4834616514
UniRef50_F5Q1L5: Cation efflux system protein cusB domain protein	353.4573113032
UniRef50_F5Q1L5: Cation efflux system protein cusB domain protein|unclassified	353.4573113032
UniRef50_UPI00047DE827: cation transporter	350.7558491434
UniRef50_UPI00047DE827: cation transporter|unclassified	350.7558491434
UniRef50_UPI00036E037F: hypothetical protein	343.3964531923
UniRef50_UPI00036E037F: hypothetical protein|unclassified	343.3964531923
UniRef50_UPI0004732924: RND transporter MFP subunit, partial	340.8113128199
UniRef50_UPI0004732924: RND transporter MFP subunit, partial|unclassified	340.8113128199
UniRef50_U9I9V9	339.5357897347
UniRef50_U9I9V9|unclassified	339.5357897347
UniRef50_UPI0003B3BC2E: cation transporter	337.5918918507
UniRef50_UPI0003B3BC2E: cation transporter|unclassified	337.5918918507
UniRef50_UPI0004659A80: RND transporter	334.6501402079
UniRef50_UPI0004659A80: RND transporter|unclassified	334.6501402079
UniRef50_J8NLW3	331.4855031955
UniRef50_J8NLW3|unclassified	331.4855031955
UniRef50_C1F557: Quinolinate synthase A	329.9010026375
UniRef50_C1F557: Quinolinate synthase A|unclassified	329.9010026375
UniRef50_UPI0001817171: putative cation efflux system transmembrane protein	328.0386456999
UniRef50_UPI0001817171: putative cation efflux system transmembrane protein|unclassified	328.0386456999
UniRef50_UPI00039FE98E: membrane protein	325.6969051175
UniRef50_UPI00039FE98E: membrane protein|unclassified	325.6969051175
UniRef50_A1BEP5: Quinolinate synthase A	325.5814839705
UniRef50_A1BEP5: Quinolinate synthase A|unclassified	325.5814839705
UniRef50_B8ZR90: Quinolinate synthase A	322.9543491306
UniRef50_B8ZR90: Quinolinate synthase A|unclassified	322.9543491306
UniRef50_UPI00046612DA: cation transporter	322.4641105276
UniRef50_UPI00046612DA: cation transporter|unclassified	322.4641105276
UniRef50_UPI0004693AE8: trans-aconitate methyltransferase	321.3198308551
UniRef50_UPI0004693AE8: trans-aconitate methyltransferase|unclassified	321.3198308551
UniRef50_UPI0003C13594	317.7684898832
UniRef50_UPI0003C13594|unclassified	317.7684898832
UniRef50_UPI0003B4C156: cytochrome C peroxidase, partial	317.1437922377
UniRef50_UPI0003B4C156: cytochrome C peroxidase, partial|unclassified	317.1437922377
UniRef50_UPI000472334C: hypothetical protein, partial	316.7356554672
UniRef50_UPI000472334C: hypothetical protein, partial|unclassified	316.7356554672
UniRef50_UPI00046E97D7: hypothetical protein	313.9694957284
UniRef50_UPI00046E97D7: hypothetical protein|unclassified	313.9694957284
UniRef50_UPI000262B165: putative transmembrane efflux pump protein, partial	313.5933863827
UniRef50_UPI000262B165: putative transmembrane efflux pump protein, partial|unclassified	313.5933863827
UniRef50_Z5XA37: Quinolinate synthetase	312.4504994654
UniRef50_Z5XA37: Quinolinate synthetase|unclassified	312.4504994654
UniRef50_A3EKV1: Transcriptional regulator, putative	310.7885726700
UniRef50_A3EKV1: Transcriptional regulator, putative|unclassified	310.7885726700
UniRef50_UPI0001FFED6C: hypothetical protein	308.2830035049
UniRef50_UPI0001FFED6C: hypothetical protein|unclassified	308.2830035049
UniRef50_L7ABN9: Putative transcriptional regulator	308.1254770610
UniRef50_L7ABN9: Putative transcriptional regulator|unclassified	308.1254770610
UniRef50_UPI0003A592DF: transcriptional regulator	304.4797069015
UniRef50_UPI0003A592DF: transcriptional regulator|unclassified	304.4797069015
UniRef50_UPI00047CCC0D: cation transporter	302.3375878272
UniRef50_UPI00047CCC0D: cation transporter|unclassified	302.3375878272
UniRef50_UPI00036CF9C8: hypothetical protein, partial	301.4940296687
UniRef50_UPI00036CF9C8: hypothetical protein, partial|unclassified	301.4940296687
UniRef50_UPI000315F7CB: hypothetical protein	300.9228203987
UniRef50_UPI000315F7CB: hypothetical protein|unclassified	300.9228203987
UniRef50_UPI0003756C61: hypothetical protein, partial	299.0349881324
UniRef50_UPI0003756C61: hypothetical protein, partial|unclassified	299.0349881324
UniRef50_Q0SVZ5: Quinolinate synthase A	298.8876891450
UniRef50_Q0SVZ5: Quinolinate synthase A|unclassified	298.8876891450
UniRef50_UPI00039CE98E: hypothetical protein	296.6969000488
UniRef50_UPI00039CE98E: hypothetical protein|unclassified	296.6969000488
UniRef50_R9V6V4: MerR family transcriptional regulator	292.9987119600
UniRef50_R9V6V4: MerR family transcriptional regulator|unclassified	292.9987119600
UniRef50_Z5X7S9: Membrane protein	289.0323470849
UniRef50_Z5X7S9: Membrane protein|unclassified	289.0323470849
UniRef50_J1GTC4	287.2808830716
UniRef50_J1GTC4|unclassified	287.2808830716
UniRef50_UPI00046FF1B2: hypothetical protein	287.1249206153
UniRef50_UPI00046FF1B2: hypothetical protein|unclassified	287.1249206153
UniRef50_UPI000379257E: hypothetical protein	285.6878995917
UniRef50_UPI000379257E: hypothetical protein|unclassified	285.6878995917
UniRef50_A1AUZ4: Quinolinate synthase A	280.4796066235
UniRef50_A1AUZ4: Quinolinate synthase A|unclassified	280.4796066235
UniRef50_UPI0003FA5466: membrane protein	278.5751995802
UniRef50_UPI0003FA5466: membrane protein|unclassified	278.5751995802
UniRef50_UPI00046F15D6: copper transporter	277.0955353408
UniRef50_UPI00046F15D6: copper transporter|unclassified	277.0955353408
UniRef50_H1R5Z2: Copper/silver resistance periplasmic protein (Fragment)	275.3720654140
UniRef50_H1R5Z2: Copper/silver resistance periplasmic protein (Fragment)|unclassified	275.3720654140
UniRef50_Q04HP0: Double-stranded beta-helix related protein	275.0222077935
UniRef50_Q04HP0: Double-stranded beta-helix related protein|unclassified	275.0222077935
UniRef50_Q7UNR5: Quinolinate synthase A	273.3098654903
UniRef50_Q7UNR5: Quinolinate synthase A|unclassified	273.3098654903
UniRef50_H7FWL3	272.3095562864
UniRef50_H7FWL3|unclassified	272.3095562864
UniRef50_Q5SJM4: Quinolinate synthase A	271.2060638440
UniRef50_Q5SJM4: Quinolinate synthase A|unclassified	271.2060638440
UniRef50_UPI00046FEBD8: hypothetical protein	271.1543966052
UniRef50_UPI00046FEBD8: hypothetical protein|unclassified	271.1543966052
UniRef50_UPI0002891DC1: cation transporter	271.1088869154
UniRef50_UPI0002891DC1: cation transporter|unclassified	271.1088869154
UniRef50_H8HRC5: Glyoxalase II	270.5283065424
UniRef50_H8HRC5: Glyoxalase II|unclassified	270.5283065424
UniRef50_R5IHN0	270.4341470101
UniRef50_R5IHN0|unclassified	270.4341470101
UniRef50_Q9K3T2: Trans-aconitate 2-methyltransferase	268.4473174074
UniRef50_Q9K3T2: Trans-aconitate 2-methyltransferase|unclassified	268.4473174074
UniRef50_A6TJ92: Quinolinate synthase A	268.3071328645
UniRef50_A6TJ92: Quinolinate synthase A|unclassified	268.3071328645
UniRef50_V6UUE0	268.0159043909
UniRef50_V6UUE0|unclassified	268.0159043909
UniRef50_A4G7G5: Hydroxyacylglutathione hydrolase	266.9493374840
UniRef50_A4G7G5: Hydroxyacylglutathione hydrolase|unclassified	266.9493374840
UniRef50_I3I540: Cd(II)/Pb(II)-responsive transcriptional regulator	264.4668824253
UniRef50_I3I540: Cd(II)/Pb(II)-responsive transcriptional regulator|unclassified	264.4668824253
UniRef50_A9U864: Predicted protein (Fragment)	262.6615591722
UniRef50_A9U864: Predicted protein (Fragment)|unclassified	262.6615591722
UniRef50_UPI000462F1EE: hypothetical protein	260.1248840032
UniRef50_UPI000462F1EE: hypothetical protein|unclassified	260.1248840032
UniRef50_W1YAS8	259.1626113891
UniRef50_W1YAS8|unclassified	259.1626113891
UniRef50_K5KMV7: Efflux transporter, RND family, MFP subunit (Fragment)	259.0141422278
UniRef50_K5KMV7: Efflux transporter, RND family, MFP subunit (Fragment)|unclassified	259.0141422278
UniRef50_UPI0003B4D7CC: metal transporter	258.7860504893
UniRef50_UPI0003B4D7CC: metal transporter|unclassified	258.7860504893
UniRef50_Q73B05: Transcriptional regulator, MerR family	257.0934633100
UniRef50_Q73B05: Transcriptional regulator, MerR family|unclassified	257.0934633100
UniRef50_UPI00047362A6: quinolinate synthetase, partial	256.8307368480
UniRef50_UPI00047362A6: quinolinate synthetase, partial|unclassified	256.8307368480
UniRef50_UPI000429DC68: cation transporter	256.7967830385
UniRef50_UPI000429DC68: cation transporter|unclassified	256.7967830385
UniRef50_A0Q7M7: Hydroxyacylglutathione hydrolase	256.4412547672
UniRef50_A0Q7M7: Hydroxyacylglutathione hydrolase|unclassified	256.4412547672
UniRef50_UPI0003B4C460: MerR family transcriptional regulator	255.8754026494
UniRef50_UPI0003B4C460: MerR family transcriptional regulator|unclassified	255.8754026494
UniRef50_B1TDE7: Cupin 2 conserved barrel domain protein	254.9183000504
UniRef50_B1TDE7: Cupin 2 conserved barrel domain protein|unclassified	254.9183000504
UniRef50_UPI000364CD73: quinolinate synthetase	252.1159131778
UniRef50_UPI000364CD73: quinolinate synthetase|unclassified	252.1159131778
UniRef50_UPI0003608A9E: hypothetical protein	250.4116958216
UniRef50_UPI0003608A9E: hypothetical protein|unclassified	250.4116958216
UniRef50_Q31ND6: Hydroxyacylglutathione hydrolase	249.4962729628
UniRef50_Q31ND6: Hydroxyacylglutathione hydrolase|unclassified	249.4962729628
UniRef50_Q46Z82: Hydroxyacylglutathione hydrolase	248.9735311154
UniRef50_Q46Z82: Hydroxyacylglutathione hydrolase|unclassified	248.9735311154
UniRef50_B9E6S7: Metallo-beta-lactamase superfamily protein	248.9579139336
UniRef50_B9E6S7: Metallo-beta-lactamase superfamily protein|unclassified	248.9579139336
UniRef50_UPI0002E6DF13: hypothetical protein	248.0154362760
UniRef50_UPI0002E6DF13: hypothetical protein|unclassified	248.0154362760
UniRef50_UPI0003B53EFA: MerR family transcriptional regulator	247.5492528169
UniRef50_UPI0003B53EFA: MerR family transcriptional regulator|unclassified	247.5492528169
UniRef50_UPI000262C933: MerR family transcriptional regulator	247.0690660431
UniRef50_UPI000262C933: MerR family transcriptional regulator|unclassified	247.0690660431
UniRef50_UPI000375687B: hypothetical protein	241.4519584829
UniRef50_UPI000375687B: hypothetical protein|unclassified	241.4519584829
UniRef50_Q5JBI5: Copper ABC transporter substrate-binding protein	241.3760882415
UniRef50_Q5JBI5: Copper ABC transporter substrate-binding protein|unclassified	241.3760882415
UniRef50_X1PLU7: Marine sediment metagenome DNA, contig: S06H3_S14481 (Fragment)	239.4073531922
UniRef50_X1PLU7: Marine sediment metagenome DNA, contig: S06H3_S14481 (Fragment)|unclassified	239.4073531922
UniRef50_Z2ELC1: EamA-like transporter family protein (Fragment)	237.9361468062
UniRef50_Z2ELC1: EamA-like transporter family protein (Fragment)|unclassified	237.9361468062
UniRef50_Q6PQB6: Hypothetical heavy metal-translocating ATPase (Fragment)	236.8564764495
UniRef50_Q6PQB6: Hypothetical heavy metal-translocating ATPase (Fragment)|unclassified	236.8564764495
UniRef50_UPI000473734C: transporter, partial	236.6174522939
UniRef50_UPI000473734C: transporter, partial|unclassified	236.6174522939
UniRef50_UPI000471E1E0: hypothetical protein	233.5274084623
UniRef50_UPI000471E1E0: hypothetical protein|unclassified	233.5274084623
UniRef50_UPI00046F856E: hypothetical protein	231.3707009241
UniRef50_UPI00046F856E: hypothetical protein|unclassified	231.3707009241
UniRef50_UPI0003B40A01: cytochrome C peroxidase	231.0530932411
UniRef50_UPI0003B40A01: cytochrome C peroxidase|unclassified	231.0530932411
UniRef50_B1JBN3: Hydroxyacylglutathione hydrolase	230.9892410784
UniRef50_B1JBN3: Hydroxyacylglutathione hydrolase|unclassified	230.9892410784
UniRef50_UPI000464E015: methyltransferase, partial	229.5157229925
UniRef50_UPI000464E015: methyltransferase, partial|unclassified	229.5157229925
UniRef50_M3SQJ6	229.2473979988
UniRef50_M3SQJ6|unclassified	229.2473979988
UniRef50_UPI0003629ADB: hypothetical protein	227.6082948251
UniRef50_UPI0003629ADB: hypothetical protein|unclassified	227.6082948251
UniRef50_UPI0003006831: hypothetical protein	227.0398860432
UniRef50_UPI0003006831: hypothetical protein|unclassified	227.0398860432
UniRef50_M2S6R1: Integral membrane protein DUF6	226.1915460617
UniRef50_M2S6R1: Integral membrane protein DUF6|unclassified	226.1915460617
UniRef50_UPI00047ABBAB: transporter	225.0631455982
UniRef50_UPI00047ABBAB: transporter|unclassified	225.0631455982
UniRef50_Q8UH15: Trans-aconitate 2-methyltransferase	224.7764599579
UniRef50_Q8UH15: Trans-aconitate 2-methyltransferase|unclassified	224.7764599579
UniRef50_X7RBL2	224.5592473546
UniRef50_X7RBL2|unclassified	224.5592473546
UniRef50_Q1LL91: Hydroxyacylglutathione hydrolase	224.5374924786
UniRef50_Q1LL91: Hydroxyacylglutathione hydrolase|unclassified	224.5374924786
UniRef50_UPI00037DB136: hypothetical protein	222.1088573831
UniRef50_UPI00037DB136: hypothetical protein|unclassified	222.1088573831
UniRef50_B2S889: Hydroxyacylglutathione hydrolase	221.7214531472
UniRef50_B2S889: Hydroxyacylglutathione hydrolase|unclassified	221.7214531472
UniRef50_UPI00046562F9: hypothetical protein	220.5389028509
UniRef50_UPI00046562F9: hypothetical protein|unclassified	220.5389028509
UniRef50_A0A011N628	220.2393888377
UniRef50_A0A011N628|unclassified	220.2393888377
UniRef50_UPI0001BF6441: hypothetical protein SMAC_11796, partial	219.9626102273
UniRef50_UPI0001BF6441: hypothetical protein SMAC_11796, partial|unclassified	219.9626102273
UniRef50_UPI0002890147: cobalt-zinc-cadmium resistance protein czcD	219.1748619699
UniRef50_UPI0002890147: cobalt-zinc-cadmium resistance protein czcD|unclassified	219.1748619699
UniRef50_UPI000375850F: hypothetical protein	217.6719392840
UniRef50_UPI000375850F: hypothetical protein|unclassified	217.6719392840
UniRef50_UPI0003B3A62B: acriflavine resistance protein B	217.4988778111
UniRef50_UPI0003B3A62B: acriflavine resistance protein B|unclassified	217.4988778111
UniRef50_UPI00047E2E65: hemolysin D	217.4023043252
UniRef50_UPI00047E2E65: hemolysin D|unclassified	217.4023043252
UniRef50_UPI00046E5773: hypothetical protein	215.6119451818
UniRef50_UPI00046E5773: hypothetical protein|unclassified	215.6119451818
UniRef50_UPI00035EC358: hypothetical protein, partial	215.1270075629
UniRef50_UPI00035EC358: hypothetical protein, partial|unclassified	215.1270075629
UniRef50_UPI00046D5B5A: hypothetical protein, partial	214.4933842917
UniRef50_UPI00046D5B5A: hypothetical protein, partial|unclassified	214.4933842917
UniRef50_UPI000475AF36: transporter	214.2274158547
UniRef50_UPI000475AF36: transporter|unclassified	214.2274158547
UniRef50_UPI000429D2B4: multidrug transporter	214.1014015271
UniRef50_UPI000429D2B4: multidrug transporter|unclassified	214.1014015271
UniRef50_UPI00046627FC: DNA-binding protein	213.1759261221
UniRef50_UPI00046627FC: DNA-binding protein|unclassified	213.1759261221
UniRef50_A4Y6B8: Hydroxyacylglutathione hydrolase	212.4156222649
UniRef50_A4Y6B8: Hydroxyacylglutathione hydrolase|unclassified	212.4156222649
UniRef50_UPI00047D7B67: cation transporter	211.6813676762
UniRef50_UPI00047D7B67: cation transporter|unclassified	211.6813676762
UniRef50_UPI0001B5A684: MerR family transcriptional regulator	211.6375924442
UniRef50_UPI0001B5A684: MerR family transcriptional regulator|unclassified	211.6375924442
UniRef50_O25910: Quinolinate synthase A	210.4118787006
UniRef50_O25910: Quinolinate synthase A|unclassified	210.4118787006
UniRef50_Q9F263	209.4551315670
