# Gene Family	SampleCobalt-zinc-cadmium_resistance_Abundance-CPM
UniRef50_Q6LN63: Hydroxyacylglutathione hydrolase|unclassified	1658.16
UniRef50_UPI0004725522: hypothetical protein	1653.37
UniRef50_UPI0004725522: hypothetical protein|unclassified	1653.37
UniRef50_UPI00016A2AB7: transporter	1648.69
UniRef50_UPI00016A2AB7: transporter|unclassified	1648.69
UniRef50_E8P0P1: Permease of the drug/metabolite transporter(DMT) superfamily	1632.79
UniRef50_E8P0P1: Permease of the drug/metabolite transporter(DMT) superfamily|unclassified	1632.79
UniRef50_UPI00036E3916: hypothetical protein	1595.22
UniRef50_UPI00036E3916: hypothetical protein|unclassified	1595.22
UniRef50_UPI0002556BA8: DMT transporter permease	1585.02
UniRef50_UPI0002556BA8: DMT transporter permease|unclassified	1585.02
UniRef50_UPI000370AB06: hypothetical protein	1560.44
UniRef50_UPI000370AB06: hypothetical protein|unclassified	1560.44
UniRef50_UPI00044220DD	1519.9
UniRef50_UPI00044220DD|unclassified	1519.9
UniRef50_UPI00046C9CAD: zinc-responsive transcriptional regulator	1518.28
UniRef50_UPI00046C9CAD: zinc-responsive transcriptional regulator|unclassified	1518.28
UniRef50_UPI00029AA74B: two component heavy metal response transcriptional regulator	1508.23
UniRef50_UPI00029AA74B: two component heavy metal response transcriptional regulator|unclassified	1508.23
UniRef50_UPI00046FBB17: hypothetical protein	1506.44
UniRef50_UPI00046FBB17: hypothetical protein|unclassified	1506.44
UniRef50_UPI00016ADB1F: RND transporter	1493.49
UniRef50_UPI00016ADB1F: RND transporter|unclassified	1493.49
UniRef50_UPI0004644A39: cation transporter, partial	1492.74
UniRef50_UPI0004644A39: cation transporter, partial|unclassified	1492.74
UniRef50_P65498: Quinolinate synthase A	1487.36
UniRef50_P65498: Quinolinate synthase A|unclassified	1487.36
UniRef50_A9BVK1: Trans-aconitate 2-methyltransferase	1483.36
UniRef50_A9BVK1: Trans-aconitate 2-methyltransferase|unclassified	1483.36
UniRef50_A9B1Q2: Quinolinate synthase A	1475.22
UniRef50_A9B1Q2: Quinolinate synthase A|unclassified	1475.22
UniRef50_D1WN86: Metallo-beta-lactamase domain protein	1461.89
UniRef50_D1WN86: Metallo-beta-lactamase domain protein|unclassified	1461.89
UniRef50_UPI000465ED91: hypothetical protein, partial	1445.39
UniRef50_UPI000465ED91: hypothetical protein, partial|unclassified	1445.39
UniRef50_UPI000415AC00: transporter	1426.31
UniRef50_UPI000415AC00: transporter|unclassified	1426.31
UniRef50_Q8NRI0: Quinolinate synthase A	1423.32
UniRef50_Q8NRI0: Quinolinate synthase A|unclassified	1423.32
UniRef50_R7ESA5	1419.45
UniRef50_R7ESA5|unclassified	1419.45
UniRef50_F5Q1L5: Cation efflux system protein cusB domain protein	1415.35
UniRef50_F5Q1L5: Cation efflux system protein cusB domain protein|unclassified	1415.35
UniRef50_UPI00047DE827: cation transporter	1404.53
UniRef50_UPI00047DE827: cation transporter|unclassified	1404.53
UniRef50_UPI00036E037F: hypothetical protein	1375.06
UniRef50_UPI00036E037F: hypothetical protein|unclassified	1375.06
UniRef50_UPI0004732924: RND transporter MFP subunit, partial	1364.71
UniRef50_UPI0004732924: RND transporter MFP subunit, partial|unclassified	1364.71
UniRef50_U9I9V9	1359.6
UniRef50_U9I9V9|unclassified	1359.6
UniRef50_UPI0003B3BC2E: cation transporter	1351.82
UniRef50_UPI0003B3BC2E: cation transporter|unclassified	1351.82
UniRef50_UPI0004659A80: RND transporter	1340.04
UniRef50_UPI0004659A80: RND transporter|unclassified	1340.04
UniRef50_J8NLW3	1327.36
UniRef50_J8NLW3|unclassified	1327.36
UniRef50_C1F557: Quinolinate synthase A	1321.02
UniRef50_C1F557: Quinolinate synthase A|unclassified	1321.02
UniRef50_UPI0001817171: putative cation efflux system transmembrane protein	1313.56
UniRef50_UPI0001817171: putative cation efflux system transmembrane protein|unclassified	1313.56
UniRef50_UPI00039FE98E: membrane protein	1304.18
UniRef50_UPI00039FE98E: membrane protein|unclassified	1304.18
UniRef50_A1BEP5: Quinolinate synthase A	1303.72
UniRef50_A1BEP5: Quinolinate synthase A|unclassified	1303.72
UniRef50_B8ZR90: Quinolinate synthase A	1293.2
UniRef50_B8ZR90: Quinolinate synthase A|unclassified	1293.2
UniRef50_UPI00046612DA: cation transporter	1291.24
UniRef50_UPI00046612DA: cation transporter|unclassified	1291.24
UniRef50_UPI0004693AE8: trans-aconitate methyltransferase	1286.66
UniRef50_UPI0004693AE8: trans-aconitate methyltransferase|unclassified	1286.66
UniRef50_UPI0003C13594	1272.44
UniRef50_UPI0003C13594|unclassified	1272.44
UniRef50_UPI0003B4C156: cytochrome C peroxidase, partial	1269.94
UniRef50_UPI0003B4C156: cytochrome C peroxidase, partial|unclassified	1269.94
UniRef50_UPI000472334C: hypothetical protein, partial	1268.3
UniRef50_UPI000472334C: hypothetical protein, partial|unclassified	1268.3
UniRef50_UPI00046E97D7: hypothetical protein	1257.22
UniRef50_UPI00046E97D7: hypothetical protein|unclassified	1257.22
UniRef50_UPI000262B165: putative transmembrane efflux pump protein, partial	1255.72
UniRef50_UPI000262B165: putative transmembrane efflux pump protein, partial|unclassified	1255.72
UniRef50_Z5XA37: Quinolinate synthetase	1251.14
UniRef50_Z5XA37: Quinolinate synthetase|unclassified	1251.14
UniRef50_A3EKV1: Transcriptional regulator, putative	1244.49
UniRef50_A3EKV1: Transcriptional regulator, putative|unclassified	1244.49
UniRef50_UPI0001FFED6C: hypothetical protein	1234.45
UniRef50_UPI0001FFED6C: hypothetical protein|unclassified	1234.45
UniRef50_L7ABN9: Putative transcriptional regulator	1233.82
UniRef50_L7ABN9: Putative transcriptional regulator|unclassified	1233.82
UniRef50_UPI0003A592DF: transcriptional regulator	1219.22
UniRef50_UPI0003A592DF: transcriptional regulator|unclassified	1219.22
UniRef50_UPI00047CCC0D: cation transporter	1210.65
UniRef50_UPI00047CCC0D: cation transporter|unclassified	1210.65
UniRef50_UPI00036CF9C8: hypothetical protein, partial	1207.27
UniRef50_UPI00036CF9C8: hypothetical protein, partial|unclassified	1207.27
UniRef50_UPI000315F7CB: hypothetical protein	1204.98
UniRef50_UPI000315F7CB: hypothetical protein|unclassified	1204.98
UniRef50_UPI0003756C61: hypothetical protein, partial	1197.42
UniRef50_UPI0003756C61: hypothetical protein, partial|unclassified	1197.42
UniRef50_Q0SVZ5: Quinolinate synthase A	1196.83
UniRef50_Q0SVZ5: Quinolinate synthase A|unclassified	1196.83
UniRef50_UPI00039CE98E: hypothetical protein	1188.06
UniRef50_UPI00039CE98E: hypothetical protein|unclassified	1188.06
UniRef50_R9V6V4: MerR family transcriptional regulator	1173.25
UniRef50_R9V6V4: MerR family transcriptional regulator|unclassified	1173.25
UniRef50_Z5X7S9: Membrane protein	1157.37
UniRef50_Z5X7S9: Membrane protein|unclassified	1157.37
UniRef50_J1GTC4	1150.36
UniRef50_J1GTC4|unclassified	1150.36
UniRef50_UPI00046FF1B2: hypothetical protein	1149.73
UniRef50_UPI00046FF1B2: hypothetical protein|unclassified	1149.73
UniRef50_UPI000379257E: hypothetical protein	1143.98
UniRef50_UPI000379257E: hypothetical protein|unclassified	1143.98
UniRef50_A1AUZ4: Quinolinate synthase A	1123.12
UniRef50_A1AUZ4: Quinolinate synthase A|unclassified	1123.12
UniRef50_UPI0003FA5466: membrane protein	1115.5
UniRef50_UPI0003FA5466: membrane protein|unclassified	1115.5
UniRef50_UPI00046F15D6: copper transporter	1109.57
UniRef50_UPI00046F15D6: copper transporter|unclassified	1109.57
UniRef50_H1R5Z2: Copper/silver resistance periplasmic protein (Fragment)	1102.67
UniRef50_H1R5Z2: Copper/silver resistance periplasmic protein (Fragment)|unclassified	1102.67
UniRef50_Q04HP0: Double-stranded beta-helix related protein	1101.27
UniRef50_Q04HP0: Double-stranded beta-helix related protein|unclassified	1101.27
UniRef50_Q7UNR5: Quinolinate synthase A	1094.41
UniRef50_Q7UNR5: Quinolinate synthase A|unclassified	1094.41
UniRef50_H7FWL3	1090.41
UniRef50_H7FWL3|unclassified	1090.41
UniRef50_Q5SJM4: Quinolinate synthase A	1085.99
UniRef50_Q5SJM4: Quinolinate synthase A|unclassified	1085.99
UniRef50_UPI00046FEBD8: hypothetical protein	1085.78
UniRef50_UPI00046FEBD8: hypothetical protein|unclassified	1085.78
UniRef50_UPI0002891DC1: cation transporter	1085.6
UniRef50_UPI0002891DC1: cation transporter|unclassified	1085.6
UniRef50_H8HRC5: Glyoxalase II	1083.27
UniRef50_H8HRC5: Glyoxalase II|unclassified	1083.27
UniRef50_R5IHN0	1082.9
UniRef50_R5IHN0|unclassified	1082.9
UniRef50_Q9K3T2: Trans-aconitate 2-methyltransferase	1074.94
UniRef50_Q9K3T2: Trans-aconitate 2-methyltransferase|unclassified	1074.94
UniRef50_A6TJ92: Quinolinate synthase A	1074.38
UniRef50_A6TJ92: Quinolinate synthase A|unclassified	1074.38
UniRef50_V6UUE0	1073.21
UniRef50_V6UUE0|unclassified	1073.21
UniRef50_A4G7G5: Hydroxyacylglutathione hydrolase	1068.94
UniRef50_A4G7G5: Hydroxyacylglutathione hydrolase|unclassified	1068.94
UniRef50_I3I540: Cd(II)/Pb(II)-responsive transcriptional regulator	1059
UniRef50_I3I540: Cd(II)/Pb(II)-responsive transcriptional regulator|unclassified	1059
UniRef50_A9U864: Predicted protein (Fragment)	1051.77
UniRef50_A9U864: Predicted protein (Fragment)|unclassified	1051.77
UniRef50_UPI000462F1EE: hypothetical protein	1041.62
UniRef50_UPI000462F1EE: hypothetical protein|unclassified	1041.62
UniRef50_W1YAS8	1037.76
UniRef50_W1YAS8|unclassified	1037.76
UniRef50_K5KMV7: Efflux transporter, RND family, MFP subunit (Fragment)	1037.17
UniRef50_K5KMV7: Efflux transporter, RND family, MFP subunit (Fragment)|unclassified	1037.17
UniRef50_UPI0003B4D7CC: metal transporter	1036.25
UniRef50_UPI0003B4D7CC: metal transporter|unclassified	1036.25
UniRef50_Q73B05: Transcriptional regulator, MerR family	1029.48
UniRef50_Q73B05: Transcriptional regulator, MerR family|unclassified	1029.48
UniRef50_UPI00047362A6: quinolinate synthetase, partial	1028.42
UniRef50_UPI00047362A6: quinolinate synthetase, partial|unclassified	1028.42
UniRef50_UPI000429DC68: cation transporter	1028.29
UniRef50_UPI000429DC68: cation transporter|unclassified	1028.29
UniRef50_A0Q7M7: Hydroxyacylglutathione hydrolase	1026.86
UniRef50_A0Q7M7: Hydroxyacylglutathione hydrolase|unclassified	1026.86
UniRef50_UPI0003B4C460: MerR family transcriptional regulator	1024.6
UniRef50_UPI0003B4C460: MerR family transcriptional regulator|unclassified	1024.6
UniRef50_B1TDE7: Cupin 2 conserved barrel domain protein	1020.77
UniRef50_B1TDE7: Cupin 2 conserved barrel domain protein|unclassified	1020.77
UniRef50_UPI000364CD73: quinolinate synthetase	1009.55
UniRef50_UPI000364CD73: quinolinate synthetase|unclassified	1009.55
UniRef50_UPI0003608A9E: hypothetical protein	1002.72
UniRef50_UPI0003608A9E: hypothetical protein|unclassified	1002.72
UniRef50_Q31ND6: Hydroxyacylglutathione hydrolase	999.055
UniRef50_Q31ND6: Hydroxyacylglutathione hydrolase|unclassified	999.055
UniRef50_Q46Z82: Hydroxyacylglutathione hydrolase	996.962
UniRef50_Q46Z82: Hydroxyacylglutathione hydrolase|unclassified	996.962
UniRef50_B9E6S7: Metallo-beta-lactamase superfamily protein	996.899
UniRef50_B9E6S7: Metallo-beta-lactamase superfamily protein|unclassified	996.899
UniRef50_UPI0002E6DF13: hypothetical protein	993.126
UniRef50_UPI0002E6DF13: hypothetical protein|unclassified	993.126
UniRef50_UPI0003B53EFA: MerR family transcriptional regulator	991.259
UniRef50_UPI0003B53EFA: MerR family transcriptional regulator|unclassified	991.259
UniRef50_UPI000262C933: MerR family transcriptional regulator	989.336
UniRef50_UPI000262C933: MerR family transcriptional regulator|unclassified	989.336
UniRef50_UPI000375687B: hypothetical protein	966.843
UniRef50_UPI000375687B: hypothetical protein|unclassified	966.843
UniRef50_Q5JBI5: Copper ABC transporter substrate-binding protein	966.54
UniRef50_Q5JBI5: Copper ABC transporter substrate-binding protein|unclassified	966.54
UniRef50_X1PLU7: Marine sediment metagenome DNA, contig: S06H3_S14481 (Fragment)	958.656
UniRef50_X1PLU7: Marine sediment metagenome DNA, contig: S06H3_S14481 (Fragment)|unclassified	958.656
UniRef50_Z2ELC1: EamA-like transporter family protein (Fragment)	952.765
UniRef50_Z2ELC1: EamA-like transporter family protein (Fragment)|unclassified	952.765
UniRef50_Q6PQB6: Hypothetical heavy metal-translocating ATPase (Fragment)	948.442
UniRef50_Q6PQB6: Hypothetical heavy metal-translocating ATPase (Fragment)|unclassified	948.442
UniRef50_UPI000473734C: transporter, partial	947.485
UniRef50_UPI000473734C: transporter, partial|unclassified	947.485
UniRef50_UPI000471E1E0: hypothetical protein	935.111
UniRef50_UPI000471E1E0: hypothetical protein|unclassified	935.111
UniRef50_UPI00046F856E: hypothetical protein	926.475
UniRef50_UPI00046F856E: hypothetical protein|unclassified	926.475
UniRef50_UPI0003B40A01: cytochrome C peroxidase	925.203
UniRef50_UPI0003B40A01: cytochrome C peroxidase|unclassified	925.203
UniRef50_B1JBN3: Hydroxyacylglutathione hydrolase	924.948
UniRef50_B1JBN3: Hydroxyacylglutathione hydrolase|unclassified	924.948
UniRef50_UPI000464E015: methyltransferase, partial	919.047
UniRef50_UPI000464E015: methyltransferase, partial|unclassified	919.047
UniRef50_M3SQJ6	917.973
UniRef50_M3SQJ6|unclassified	917.973
UniRef50_UPI0003629ADB: hypothetical protein	911.409
UniRef50_UPI0003629ADB: hypothetical protein|unclassified	911.409
UniRef50_UPI0003006831: hypothetical protein	909.133
UniRef50_UPI0003006831: hypothetical protein|unclassified	909.133
UniRef50_M2S6R1: Integral membrane protein DUF6	905.736
UniRef50_M2S6R1: Integral membrane protein DUF6|unclassified	905.736
UniRef50_UPI00047ABBAB: transporter	901.218
UniRef50_UPI00047ABBAB: transporter|unclassified	901.218
UniRef50_Q8UH15: Trans-aconitate 2-methyltransferase	900.07
UniRef50_Q8UH15: Trans-aconitate 2-methyltransferase|unclassified	900.07
UniRef50_X7RBL2	899.2
UniRef50_X7RBL2|unclassified	899.2
UniRef50_Q1LL91: Hydroxyacylglutathione hydrolase	899.113
UniRef50_Q1LL91: Hydroxyacylglutathione hydrolase|unclassified	899.113
UniRef50_UPI00037DB136: hypothetical protein	889.388
UniRef50_UPI00037DB136: hypothetical protein|unclassified	889.388
UniRef50_B2S889: Hydroxyacylglutathione hydrolase	887.837
UniRef50_B2S889: Hydroxyacylglutathione hydrolase|unclassified	887.837
UniRef50_UPI00046562F9: hypothetical protein	883.102
UniRef50_UPI00046562F9: hypothetical protein|unclassified	883.102
UniRef50_A0A011N628	881.902
UniRef50_A0A011N628|unclassified	881.902
UniRef50_UPI0001BF6441: hypothetical protein SMAC_11796, partial	880.794
UniRef50_UPI0001BF6441: hypothetical protein SMAC_11796, partial|unclassified	880.794
UniRef50_UPI0002890147: cobalt-zinc-cadmium resistance protein czcD	877.64
UniRef50_UPI0002890147: cobalt-zinc-cadmium resistance protein czcD|unclassified	877.64
UniRef50_UPI000375850F: hypothetical protein	871.621
UniRef50_UPI000375850F: hypothetical protein|unclassified	871.621
UniRef50_UPI0003B3A62B: acriflavine resistance protein B	870.928
UniRef50_UPI0003B3A62B: acriflavine resistance protein B|unclassified	870.928
UniRef50_UPI00047E2E65: hemolysin D	870.542
UniRef50_UPI00047E2E65: hemolysin D|unclassified	870.542
UniRef50_UPI00046E5773: hypothetical protein	863.373
UniRef50_UPI00046E5773: hypothetical protein|unclassified	863.373
UniRef50_UPI00035EC358: hypothetical protein, partial	861.431
UniRef50_UPI00035EC358: hypothetical protein, partial|unclassified	861.431
UniRef50_UPI00046D5B5A: hypothetical protein, partial	858.894
UniRef50_UPI00046D5B5A: hypothetical protein, partial|unclassified	858.894
UniRef50_UPI000475AF36: transporter	857.829
UniRef50_UPI000475AF36: transporter|unclassified	857.829
UniRef50_UPI000429D2B4: multidrug transporter	857.324
UniRef50_UPI000429D2B4: multidrug transporter|unclassified	857.324
UniRef50_UPI00046627FC: DNA-binding protein	853.618
UniRef50_UPI00046627FC: DNA-binding protein|unclassified	853.618
UniRef50_A4Y6B8: Hydroxyacylglutathione hydrolase	850.574
UniRef50_A4Y6B8: Hydroxyacylglutathione hydrolase|unclassified	850.574
UniRef50_UPI00047D7B67: cation transporter	847.633
UniRef50_UPI00047D7B67: cation transporter|unclassified	847.633
UniRef50_UPI0001B5A684: MerR family transcriptional regulator	847.458
UniRef50_UPI0001B5A684: MerR family transcriptional regulator|unclassified	847.458
UniRef50_O25910: Quinolinate synthase A	842.55
UniRef50_O25910: Quinolinate synthase A|unclassified	842.55
UniRef50_Q9F263	838.719
UniRef50_Q9F263|unclassified	838.719
UniRef50_Q1LT01: Hydroxyacylglutathione hydrolase	837.275
UniRef50_Q1LT01: Hydroxyacylglutathione hydrolase|unclassified	837.275
UniRef50_W1JHR5: Cation efflux system protein (Fragment)	836.814
UniRef50_W1JHR5: Cation efflux system protein (Fragment)|unclassified	836.814
UniRef50_M3SQK0	834.91
UniRef50_M3SQK0|unclassified	834.91
UniRef50_Q8TME2: Quinolinate synthase A 2	832.805
UniRef50_Q8TME2: Quinolinate synthase A 2|unclassified	832.805
UniRef50_UPI00046EB449: hypothetical protein	832.393
UniRef50_UPI00046EB449: hypothetical protein|unclassified	832.393
UniRef50_UPI000368C9A8: membrane protein	824.288
UniRef50_UPI000368C9A8: membrane protein|unclassified	824.288
UniRef50_B7I2G7	822.992
UniRef50_B7I2G7|unclassified	822.992
UniRef50_UPI00047078AA: hypothetical protein	821.379
UniRef50_UPI00047078AA: hypothetical protein|unclassified	821.379
UniRef50_Q8PNI0: Hydroxyacylglutathione hydrolase	815.848
UniRef50_Q8PNI0: Hydroxyacylglutathione hydrolase|unclassified	815.848
UniRef50_UPI000466BF2E: transporter, partial	814.814
UniRef50_UPI000466BF2E: transporter, partial|unclassified	814.814
UniRef50_UPI00046F048D: hypothetical protein	814.698
UniRef50_UPI00046F048D: hypothetical protein|unclassified	814.698
UniRef50_UPI000312219E: hypothetical protein	814.255
UniRef50_UPI000312219E: hypothetical protein|unclassified	814.255
UniRef50_O67730: Quinolinate synthase A	813.96
UniRef50_O67730: Quinolinate synthase A|unclassified	813.96
UniRef50_W1CM60: Cobalt/zinc/cadmium efflux RND transporter,membrane fusion protein, CzcB family	808.814
UniRef50_W1CM60: Cobalt/zinc/cadmium efflux RND transporter,membrane fusion protein, CzcB family|unclassified	808.814
