# Gene Family	SampleAmmonia_assimilation_Abundance-CPM
UniRef50_UPI00016A626E: Rh-like protein/ammonium transporter, partial	4482.79
UniRef50_UPI00016A626E: Rh-like protein/ammonium transporter, partial|unclassified	4482.79
UniRef50_Z5XDL4: Glutamate synthase	4239.43
UniRef50_Z5XDL4: Glutamate synthase|unclassified	4239.43
UniRef50_W7WZX8	4228.59
UniRef50_W7WZX8|unclassified	4228.59
UniRef50_W7PXP7	4072.5
UniRef50_W7PXP7|unclassified	4072.5
UniRef50_O87390: Glutamine amidotransferase-like protein GlxB	3920.65
UniRef50_O87390: Glutamine amidotransferase-like protein GlxB|unclassified	3920.65
UniRef50_UPI0003791ACA: hypothetical protein, partial	3883.17
UniRef50_UPI0003791ACA: hypothetical protein, partial|unclassified	3883.17
UniRef50_UPI0003C154AA: PREDICTED: glutamate synthase 1 [NADH], chloroplastic-like	3842.79
UniRef50_UPI0003C154AA: PREDICTED: glutamate synthase 1 [NADH], chloroplastic-like|unclassified	3842.79
UniRef50_P55037: Ferredoxin-dependent glutamate synthase 1	3832.63
UniRef50_P55037: Ferredoxin-dependent glutamate synthase 1|unclassified	3832.63
UniRef50_UPI000288DACB: nitrogen regulatory protein P-II	3761.21
UniRef50_UPI000288DACB: nitrogen regulatory protein P-II|unclassified	3761.21
UniRef50_Q05756: Glutamate synthase [NADPH] small chain	3677.87
UniRef50_Q05756: Glutamate synthase [NADPH] small chain|unclassified	3677.87
UniRef50_W1E0B9	3674.02
UniRef50_W1E0B9|unclassified	3674.02
UniRef50_UPI00046F8172: hypothetical protein, partial	3670.58
UniRef50_UPI00046F8172: hypothetical protein, partial|unclassified	3670.58
UniRef50_UPI000348C76A: hypothetical protein	3643.62
UniRef50_UPI000348C76A: hypothetical protein|unclassified	3643.62
UniRef50_P39812: Glutamate synthase [NADPH] large chain	3612.42
UniRef50_P39812: Glutamate synthase [NADPH] large chain|unclassified	3612.42
UniRef50_UPI000466FB72: nitrogen regulation protein NR(I)	3574.91
UniRef50_UPI000466FB72: nitrogen regulation protein NR(I)|unclassified	3574.91
UniRef50_UPI0002628B6A: putative ammonium transporter, marine subtype, partial	3572.37
UniRef50_UPI0002628B6A: putative ammonium transporter, marine subtype, partial|unclassified	3572.37
UniRef50_UPI00016A3B06: nitrogen metabolism transcriptional regulator, NtrC, Fis Family, partial	3505.93
UniRef50_UPI00016A3B06: nitrogen metabolism transcriptional regulator, NtrC, Fis Family, partial|unclassified	3505.93
UniRef50_UPI000425D472: glutamate synthase	3411.13
UniRef50_UPI000425D472: glutamate synthase|unclassified	3411.13
UniRef50_I6ZBP2: Putative ammonia channel	3341.73
UniRef50_I6ZBP2: Putative ammonia channel|unclassified	3341.73
UniRef50_UPI00016C40E6: nitrogen regulatory protein P-II	3314.92
UniRef50_UPI00016C40E6: nitrogen regulatory protein P-II|unclassified	3314.92
UniRef50_X8CMT1: Putative glutamate synthase small subunit	3247.39
UniRef50_X8CMT1: Putative glutamate synthase small subunit|unclassified	3247.39
UniRef50_UPI0004702F53: hypothetical protein, partial	3233.37
UniRef50_UPI0004702F53: hypothetical protein, partial|unclassified	3233.37
UniRef50_W1EKI0	3153.62
UniRef50_W1EKI0|unclassified	3153.62
UniRef50_Q0ZRZ1: NtcA (Fragment)	3032.73
UniRef50_Q0ZRZ1: NtcA (Fragment)|unclassified	3032.73
UniRef50_UPI000362BC5D: hypothetical protein	3026.1
UniRef50_UPI000362BC5D: hypothetical protein|unclassified	3026.1
UniRef50_K1YBX6	3001.58
UniRef50_K1YBX6|unclassified	3001.58
UniRef50_R5W8L9	2958.28
UniRef50_R5W8L9|unclassified	2958.28
UniRef50_UPI0002556519: ammonium transporter, partial	2956.93
UniRef50_UPI0002556519: ammonium transporter, partial|unclassified	2956.93
UniRef50_R5PGB0	2947.6
UniRef50_R5PGB0|unclassified	2947.6
UniRef50_UPI00046F6433: hypothetical protein	2939.68
UniRef50_UPI00046F6433: hypothetical protein|unclassified	2939.68
UniRef50_UPI00046F7D21: hypothetical protein	2933.75
UniRef50_UPI00046F7D21: hypothetical protein|unclassified	2933.75
UniRef50_UPI0001911719: hypothetical protein, partial	2908.36
UniRef50_UPI0001911719: hypothetical protein, partial|unclassified	2908.36
UniRef50_UPI0003B4BDBC: ammonia channel protein, partial	2888.13
UniRef50_UPI0003B4BDBC: ammonia channel protein, partial|unclassified	2888.13
UniRef50_O29309: Archaeal glutamate synthase [NADPH]	2766.58
UniRef50_O29309: Archaeal glutamate synthase [NADPH]|unclassified	2766.58
UniRef50_UPI000471D4BC: hypothetical protein, partial	2761.44
UniRef50_UPI000471D4BC: hypothetical protein, partial|unclassified	2761.44
UniRef50_UPI00046FABE6: hypothetical protein	2726.36
UniRef50_UPI00046FABE6: hypothetical protein|unclassified	2726.36
UniRef50_UPI00037AB640: hypothetical protein	2648.44
UniRef50_UPI00037AB640: hypothetical protein|unclassified	2648.44
UniRef50_UPI0001B4466A: glutamate synthase (large subunit), partial	2634.36
UniRef50_UPI0001B4466A: glutamate synthase (large subunit), partial|unclassified	2634.36
UniRef50_P19906: Nitrogen regulation protein NtrB	2578.02
UniRef50_P19906: Nitrogen regulation protein NtrB|unclassified	2578.02
UniRef50_UPI00035FC660: hypothetical protein	2535.93
UniRef50_UPI00035FC660: hypothetical protein|unclassified	2535.93
UniRef50_A0A011QAJ1: Nitrogen assimilation regulatory protein	2523.03
UniRef50_A0A011QAJ1: Nitrogen assimilation regulatory protein|unclassified	2523.03
UniRef50_D4JCQ4	2515.66
UniRef50_D4JCQ4|unclassified	2515.66
UniRef50_UPI00046F9602: hypothetical protein	2513.64
UniRef50_UPI00046F9602: hypothetical protein|unclassified	2513.64
UniRef50_K2EJD3	2475.31
UniRef50_K2EJD3|unclassified	2475.31
UniRef50_UPI00036F1361: hypothetical protein, partial	2470.45
UniRef50_UPI00036F1361: hypothetical protein, partial|unclassified	2470.45
UniRef50_UPI000288AD03: glutamate synthase subunit alpha	2464.06
UniRef50_UPI000288AD03: glutamate synthase subunit alpha|unclassified	2464.06
UniRef50_K2AWN0	2454.6
UniRef50_K2AWN0|unclassified	2454.6
UniRef50_W1YQ62	2410.56
UniRef50_W1YQ62|unclassified	2410.56
UniRef50_UPI000309370C: hypothetical protein	2381.44
UniRef50_UPI000309370C: hypothetical protein|unclassified	2381.44
UniRef50_Q3JMX2	2374.66
UniRef50_Q3JMX2|unclassified	2374.66
UniRef50_X1ABS4: Marine sediment metagenome DNA, contig: S01H4_C04174 (Fragment)	2373.33
UniRef50_X1ABS4: Marine sediment metagenome DNA, contig: S01H4_C04174 (Fragment)|unclassified	2373.33
UniRef50_Q8FK99	2320.47
UniRef50_Q8FK99|unclassified	2320.47
UniRef50_UPI00047D3079: protein-PII uridylyltransferase, partial	2303.23
UniRef50_UPI00047D3079: protein-PII uridylyltransferase, partial|unclassified	2303.23
UniRef50_T0Y5Z3: Glutamate synthase subunit beta (Fragment)	2292.68
UniRef50_T0Y5Z3: Glutamate synthase subunit beta (Fragment)|unclassified	2292.68
UniRef50_Q05755: Glutamate synthase [NADPH] large chain	2277.58
UniRef50_Q05755: Glutamate synthase [NADPH] large chain|unclassified	2277.58
UniRef50_UPI00016A69C6: hypothetical protein	2277.32
UniRef50_UPI00016A69C6: hypothetical protein|unclassified	2277.32
UniRef50_G5MDT4	2249.04
UniRef50_G5MDT4|unclassified	2249.04
UniRef50_UPI00036AE92B: hypothetical protein	2228.94
UniRef50_UPI00036AE92B: hypothetical protein|unclassified	2228.94
UniRef50_R7HV20: Glutamate synthase NADH/NADPH small subunit	2226.39
UniRef50_R7HV20: Glutamate synthase NADH/NADPH small subunit|unclassified	2226.39
UniRef50_UPI0002F46275: hypothetical protein	2225.69
UniRef50_UPI0002F46275: hypothetical protein|unclassified	2225.69
UniRef50_Q7MNY4: Glutamate-ammonia-ligase adenylyltransferase	2200
UniRef50_Q7MNY4: Glutamate-ammonia-ligase adenylyltransferase|unclassified	2200
UniRef50_UPI00046E67B2: hypothetical protein	2195.11
UniRef50_UPI00046E67B2: hypothetical protein|unclassified	2195.11
UniRef50_W1XKD2: Glutamate synthase [NADPH] large chain (Fragment)	2155.4
UniRef50_W1XKD2: Glutamate synthase [NADPH] large chain (Fragment)|unclassified	2155.4
UniRef50_X8BKF1: Putative glutamate synthase, small subunit	2147.75
UniRef50_X8BKF1: Putative glutamate synthase, small subunit|unclassified	2147.75
UniRef50_X8BIL7: Pyridine nucleotide-disulfide oxidoreductase family protein	2114.52
UniRef50_X8BIL7: Pyridine nucleotide-disulfide oxidoreductase family protein|unclassified	2114.52
UniRef50_B8F8A2	2081.37
UniRef50_B8F8A2|unclassified	2081.37
UniRef50_UPI000377B971: hypothetical protein	2081.25
UniRef50_UPI000377B971: hypothetical protein|unclassified	2081.25
UniRef50_UPI0004742FA0: ammonium transporter, partial	2072.88
UniRef50_UPI0004742FA0: ammonium transporter, partial|unclassified	2072.88
UniRef50_UPI00037C5BF9: hypothetical protein	2068.71
UniRef50_UPI00037C5BF9: hypothetical protein|unclassified	2068.71
UniRef50_UPI00036CBCB1: hypothetical protein, partial	2067.51
UniRef50_UPI00036CBCB1: hypothetical protein, partial|unclassified	2067.51
UniRef50_R5KV47	2039.33
UniRef50_R5KV47|unclassified	2039.33
UniRef50_UPI00046E5437: hypothetical protein	2032.46
UniRef50_UPI00046E5437: hypothetical protein|unclassified	2032.46
UniRef50_UPI000362D518: hypothetical protein	2029.33
UniRef50_UPI000362D518: hypothetical protein|unclassified	2029.33
UniRef50_A0A011MHR3: Glutamate synthase [NADPH] large chain	2026
UniRef50_A0A011MHR3: Glutamate synthase [NADPH] large chain|unclassified	2026
UniRef50_E7C7E2: NADPH-dependent glutamate synthase beta chain and related oxidoreductases	2013.66
UniRef50_E7C7E2: NADPH-dependent glutamate synthase beta chain and related oxidoreductases|unclassified	2013.66
UniRef50_UPI000367B65C: hypothetical protein	2012.71
UniRef50_UPI000367B65C: hypothetical protein|unclassified	2012.71
UniRef50_Q9LV03: Glutamate synthase 1 [NADH], chloroplastic	2011.31
UniRef50_Q9LV03: Glutamate synthase 1 [NADH], chloroplastic|unclassified	2011.31
UniRef50_UPI00047DA42E: glutamate synthase	1992.59
UniRef50_UPI00047DA42E: glutamate synthase|unclassified	1992.59
UniRef50_Q8EGH8: Bifunctional uridylyltransferase/uridylyl-removing enzyme	1991.35
UniRef50_Q8EGH8: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	1991.35
UniRef50_UPI000473521A: glutamate synthase, partial	1980.63
UniRef50_UPI000473521A: glutamate synthase, partial|unclassified	1980.63
UniRef50_Q0JKD0: Glutamate synthase 1 [NADH], chloroplastic	1967.18
UniRef50_Q0JKD0: Glutamate synthase 1 [NADH], chloroplastic|unclassified	1967.18
UniRef50_K2EE04	1957.21
UniRef50_K2EE04|unclassified	1957.21
UniRef50_Z5XEX7	1944.78
UniRef50_Z5XEX7|unclassified	1944.78
UniRef50_Q6LUZ6: Glutamate-ammonia-ligase adenylyltransferase	1941.68
UniRef50_Q6LUZ6: Glutamate-ammonia-ligase adenylyltransferase|unclassified	1941.68
UniRef50_Q5AAQ3	1934.66
UniRef50_Q5AAQ3|unclassified	1934.66
UniRef50_UPI00037365A3: hypothetical protein, partial	1925.15
UniRef50_UPI00037365A3: hypothetical protein, partial|unclassified	1925.15
UniRef50_T1ADY5: Glutamate synthase subunit beta (Fragment)	1888.16
UniRef50_T1ADY5: Glutamate synthase subunit beta (Fragment)|unclassified	1888.16
UniRef50_J5KC73: Glutamate synthase, small subunit	1886.43
UniRef50_J5KC73: Glutamate synthase, small subunit|unclassified	1886.43
UniRef50_UPI0004724D89: hypothetical protein	1870.78
UniRef50_UPI0004724D89: hypothetical protein|unclassified	1870.78
UniRef50_UPI000471ED09: hypothetical protein, partial	1850.05
UniRef50_UPI000471ED09: hypothetical protein, partial|unclassified	1850.05
UniRef50_UPI00036D9B8C: hypothetical protein, partial	1833.99
UniRef50_UPI00036D9B8C: hypothetical protein, partial|unclassified	1833.99
UniRef50_C0AUG4	1829.6
UniRef50_C0AUG4|unclassified	1829.6
UniRef50_A9MM08	1818.18
UniRef50_A9MM08|unclassified	1818.18
UniRef50_Q0DG35: Glutamate synthase 2 [NADH], chloroplastic	1816.42
UniRef50_Q0DG35: Glutamate synthase 2 [NADH], chloroplastic|unclassified	1816.42
UniRef50_UPI00036EB648: hypothetical protein	1790.19
UniRef50_UPI00036EB648: hypothetical protein|unclassified	1790.19
UniRef50_UPI000470949F: bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase, partial	1776.93
UniRef50_UPI000470949F: bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase, partial|unclassified	1776.93
UniRef50_UPI000262634A: dihydropyrimidine dehydrogenase subunit A	1762.05
UniRef50_UPI000262634A: dihydropyrimidine dehydrogenase subunit A|unclassified	1762.05
UniRef50_UPI0003B3647A: hypothetical protein	1759.29
UniRef50_UPI0003B3647A: hypothetical protein|unclassified	1759.29
UniRef50_UPI000474D650: hypothetical protein, partial	1748.06
UniRef50_UPI000474D650: hypothetical protein, partial|unclassified	1748.06
UniRef50_Q3JMX4	1746.92
UniRef50_Q3JMX4|unclassified	1746.92
UniRef50_Q470D5: Bifunctional uridylyltransferase/uridylyl-removing enzyme	1742.94
UniRef50_Q470D5: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	1742.94
UniRef50_UPI000469C1A7: glutamate synthase	1734.05
UniRef50_UPI000469C1A7: glutamate synthase|unclassified	1734.05
UniRef50_Q4MQM9	1728.27
UniRef50_Q4MQM9|unclassified	1728.27
UniRef50_R5IMN8	1725.46
UniRef50_R5IMN8|unclassified	1725.46
UniRef50_UPI000470D606: hypothetical protein	1695.26
UniRef50_UPI000470D606: hypothetical protein|unclassified	1695.26
UniRef50_E2NSK7	1693.26
UniRef50_E2NSK7|unclassified	1693.26
UniRef50_UPI00016B0688: hypothetical protein	1691.89
UniRef50_UPI00016B0688: hypothetical protein|unclassified	1691.89
UniRef50_UPI0002001A3D: hypothetical protein	1667.47
UniRef50_UPI0002001A3D: hypothetical protein|unclassified	1667.47
UniRef50_H9K0F1	1659.85
UniRef50_H9K0F1|unclassified	1659.85
UniRef50_A5U6S3: Bifunctional uridylyltransferase/uridylyl-removing enzyme	1657.12
UniRef50_A5U6S3: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	1657.12
UniRef50_W1XVP9: Glutamate synthase, homotetrameric (Fragment)	1643.93
UniRef50_W1XVP9: Glutamate synthase, homotetrameric (Fragment)|unclassified	1643.93
UniRef50_UPI0004718487: hypothetical protein	1638.31
UniRef50_UPI0004718487: hypothetical protein|unclassified	1638.31
UniRef50_UPI00047ADA77: hypothetical protein, partial	1634.82
UniRef50_UPI00047ADA77: hypothetical protein, partial|unclassified	1634.82
UniRef50_UPI00025560C0: dihydropyrimidine dehydrogenase subunit A	1624.64
UniRef50_UPI00025560C0: dihydropyrimidine dehydrogenase subunit A|unclassified	1624.64
UniRef50_X0VSD6: Marine sediment metagenome DNA, contig: S01H1_S23985 (Fragment)	1621.42
UniRef50_X0VSD6: Marine sediment metagenome DNA, contig: S01H1_S23985 (Fragment)|unclassified	1621.42
UniRef50_T1CMT1: Glutamate synthase subunit beta	1611.05
UniRef50_T1CMT1: Glutamate synthase subunit beta|unclassified	1611.05
UniRef50_UPI0001EA98AB: glutamate synthase	1599.24
UniRef50_UPI0001EA98AB: glutamate synthase|unclassified	1599.24
UniRef50_UPI0003713290: hypothetical protein, partial	1595.8
UniRef50_UPI0003713290: hypothetical protein, partial|unclassified	1595.8
UniRef50_Q9CBT4: Glutamate-ammonia-ligase adenylyltransferase	1591.39
UniRef50_Q9CBT4: Glutamate-ammonia-ligase adenylyltransferase|unclassified	1591.39
UniRef50_UPI00047D5805: hypothetical protein	1591.12
UniRef50_UPI00047D5805: hypothetical protein|unclassified	1591.12
UniRef50_UPI00046E6FDB: hypothetical protein, partial	1572.44
UniRef50_UPI00046E6FDB: hypothetical protein, partial|unclassified	1572.44
UniRef50_UPI0004737177: hypothetical protein, partial	1563.06
UniRef50_UPI0004737177: hypothetical protein, partial|unclassified	1563.06
UniRef50_UPI0003B6FF73: hypothetical protein	1559.79
UniRef50_UPI0003B6FF73: hypothetical protein|unclassified	1559.79
UniRef50_E7C7E0	1541.83
UniRef50_E7C7E0|unclassified	1541.83
UniRef50_UPI000255651A: ammonium transporter, partial	1527.53
UniRef50_UPI000255651A: ammonium transporter, partial|unclassified	1527.53
UniRef50_N8TJS9	1523.94
UniRef50_N8TJS9|unclassified	1523.94
UniRef50_W7XAA3	1493.47
UniRef50_W7XAA3|unclassified	1493.47
UniRef50_W7X7S7	1480.41
UniRef50_W7X7S7|unclassified	1480.41
UniRef50_A6U5G1: Bifunctional uridylyltransferase/uridylyl-removing enzyme	1456.69
UniRef50_A6U5G1: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	1456.69
UniRef50_Q87VD5: Glutamate-ammonia-ligase adenylyltransferase	1448.45
UniRef50_Q87VD5: Glutamate-ammonia-ligase adenylyltransferase|unclassified	1448.45
UniRef50_Q12680: Glutamate synthase [NADH]	1444.2
UniRef50_Q12680: Glutamate synthase [NADH]|unclassified	1444.2
UniRef50_Q9T0P4: Ferredoxin-dependent glutamate synthase 2, chloroplastic	1422.91
UniRef50_Q9T0P4: Ferredoxin-dependent glutamate synthase 2, chloroplastic|unclassified	1422.91
UniRef50_R4MEH2	1408.52
UniRef50_R4MEH2|unclassified	1408.52
UniRef50_UPI000373DE43: MULTISPECIES: hypothetical protein	1399.35
UniRef50_UPI000373DE43: MULTISPECIES: hypothetical protein|unclassified	1399.35
UniRef50_UPI00037AD30F: hypothetical protein	1392.81
UniRef50_UPI00037AD30F: hypothetical protein|unclassified	1392.81
UniRef50_UPI0003700075: glutamine-synthetase adenylyltransferase	1391.1
UniRef50_UPI0003700075: glutamine-synthetase adenylyltransferase|unclassified	1391.1
UniRef50_UPI0003C1735E: PREDICTED: glutamate synthase 1 [NADH], chloroplastic-like	1348.24
UniRef50_UPI0003C1735E: PREDICTED: glutamate synthase 1 [NADH], chloroplastic-like|unclassified	1348.24
UniRef50_UPI0004779A57: hypothetical protein	1346.66
UniRef50_UPI0004779A57: hypothetical protein|unclassified	1346.66
UniRef50_UPI000427E2A8: MULTISPECIES: ATPase AAA	1345.75
UniRef50_UPI000427E2A8: MULTISPECIES: ATPase AAA|unclassified	1345.75
UniRef50_Q52977: Nitrogen regulation protein NtrB	1343.28
UniRef50_Q52977: Nitrogen regulation protein NtrB|unclassified	1343.28
UniRef50_Q89VX9: Bifunctional uridylyltransferase/uridylyl-removing enzyme	1316.29
UniRef50_Q89VX9: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	1316.29
UniRef50_UPI00031DCA0C: hypothetical protein	1314.29
UniRef50_UPI00031DCA0C: hypothetical protein|unclassified	1314.29
UniRef50_A0A024M7S5	1313.9
UniRef50_A0A024M7S5|unclassified	1313.9
UniRef50_K1RTB4: Glutamate synthase (NADPH), homotetrameric (Fragment)	1303.7
UniRef50_K1RTB4: Glutamate synthase (NADPH), homotetrameric (Fragment)|unclassified	1303.7
UniRef50_UPI0004707D65: hypothetical protein, partial	1296.42
UniRef50_UPI0004707D65: hypothetical protein, partial|unclassified	1296.42
UniRef50_UPI0003732932: hypothetical protein, partial	1283.74
UniRef50_UPI0003732932: hypothetical protein, partial|unclassified	1283.74
UniRef50_UPI00036C8D4E: hypothetical protein	1269.2
UniRef50_UPI00036C8D4E: hypothetical protein|unclassified	1269.2
UniRef50_A5D247	1257.85
UniRef50_A5D247|unclassified	1257.85
UniRef50_UPI0002E432AA: hypothetical protein	1245.42
UniRef50_UPI0002E432AA: hypothetical protein|unclassified	1245.42
UniRef50_UPI000464FF81: protein-PII uridylyltransferase	1230.04
UniRef50_UPI000464FF81: protein-PII uridylyltransferase|unclassified	1230.04
UniRef50_UPI0003058DAF: ammonium transporter	1228.95
UniRef50_UPI0003058DAF: ammonium transporter|unclassified	1228.95
UniRef50_K2AGL3	1228.29
UniRef50_K2AGL3|unclassified	1228.29
UniRef50_S9QQU4	1221.74
UniRef50_S9QQU4|unclassified	1221.74
UniRef50_UPI0003A24932: hypothetical protein	1220.86
UniRef50_UPI0003A24932: hypothetical protein|unclassified	1220.86
UniRef50_UPI00016C4489: ammonium transporter	1217.09
UniRef50_UPI00016C4489: ammonium transporter|unclassified	1217.09
UniRef50_Q3J5H6: Bifunctional uridylyltransferase/uridylyl-removing enzyme	1215.8
UniRef50_Q3J5H6: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	1215.8
UniRef50_UPI000468FB82: ATPase	1211.71
UniRef50_UPI000468FB82: ATPase|unclassified	1211.71
UniRef50_UPI00047656AD: hypothetical protein, partial	1211.45
UniRef50_UPI00047656AD: hypothetical protein, partial|unclassified	1211.45
UniRef50_UPI0004659959: hypothetical protein, partial	1210.44
UniRef50_UPI0004659959: hypothetical protein, partial|unclassified	1210.44
UniRef50_R4M3V6	1207.52
UniRef50_R4M3V6|unclassified	1207.52
UniRef50_UPI00047C314D: glutamate synthase	1198.21
UniRef50_UPI00047C314D: glutamate synthase|unclassified	1198.21
UniRef50_A3VHB4	1173.89
UniRef50_A3VHB4|unclassified	1173.89
UniRef50_UPI0002195761: ammonia permease	1173.5
UniRef50_UPI0002195761: ammonia permease|unclassified	1173.5
UniRef50_UPI00035F3528: hypothetical protein, partial	1160.03
UniRef50_UPI00035F3528: hypothetical protein, partial|unclassified	1160.03
UniRef50_Q886P5: Bifunctional uridylyltransferase/uridylyl-removing enzyme	1158.76
UniRef50_Q886P5: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	1158.76
UniRef50_T1BID2: Glutamate synthase, large subunit (Fragment)	1151.77
UniRef50_T1BID2: Glutamate synthase, large subunit (Fragment)|unclassified	1151.77
UniRef50_UPI00037EA2FB: hypothetical protein, partial	1144.99
UniRef50_UPI00037EA2FB: hypothetical protein, partial|unclassified	1144.99
UniRef50_R7C3Q6: Glutamate synthase (NADH) small subunit	1142.89
UniRef50_R7C3Q6: Glutamate synthase (NADH) small subunit|unclassified	1142.89
UniRef50_Q3KHB4: Bifunctional uridylyltransferase/uridylyl-removing enzyme	1138.47
UniRef50_Q3KHB4: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	1138.47
UniRef50_UPI00037FF0A4: hypothetical protein	1136.85
UniRef50_UPI00037FF0A4: hypothetical protein|unclassified	1136.85
UniRef50_K1SAU9: Glutamate synthase (NADPH) GltB1 subunit (Fragment)	1128.09
UniRef50_K1SAU9: Glutamate synthase (NADPH) GltB1 subunit (Fragment)|unclassified	1128.09
UniRef50_X0ZFX6: Marine sediment metagenome DNA, contig: S01H1_S42174 (Fragment)	1117.25
UniRef50_X0ZFX6: Marine sediment metagenome DNA, contig: S01H1_S42174 (Fragment)|unclassified	1117.25
UniRef50_UPI0004712067: hypothetical protein	1114.18
UniRef50_UPI0004712067: hypothetical protein|unclassified	1114.18
UniRef50_UPI0003B6C545: PII uridylyl-transferase, partial	1113.07
UniRef50_UPI0003B6C545: PII uridylyl-transferase, partial|unclassified	1113.07
UniRef50_UPI000381B803: hypothetical protein	1111.14
UniRef50_UPI000381B803: hypothetical protein|unclassified	1111.14
UniRef50_UPI00045E7AD4: 2-polyprenylphenol hydroxylase	1110.09
UniRef50_UPI00045E7AD4: 2-polyprenylphenol hydroxylase|unclassified	1110.09
UniRef50_X7NLX9	1104.73
UniRef50_X7NLX9|unclassified	1104.73
UniRef50_R5KHK1	1079.99
UniRef50_R5KHK1|unclassified	1079.99
UniRef50_UPI00039BBF2C: hypothetical protein	1068.15
UniRef50_UPI00039BBF2C: hypothetical protein|unclassified	1068.15
UniRef50_H1XLP3	1062.56
